domain	size_bin	n_proteins	avg_richness	sd_richness
A	large (>500)	554589	0.0005682657016674681	0.0010144277888735724
A	medium (200-500)	2511774	0.00026355611492019936	0.0009522407809097326
A	small (<200)	1909543	0.00016746959450795586	0.0011493724745894622
B	large (>500)	19759089	0.0005389290595362201	0.0010181388770842568
B	medium (200-500)	72728963	0.00028973933307411593	0.0010007534095504305
B	small (<200)	38268279	0.0001779014476885648	0.0011398837102142548
E	large (>500)	7806307	0.001735395054908652	0.0017899659626088738
E	medium (200-500)	15092371	0.0010429094155613415	0.0018179160113647353
E	small (<200)	8348509	0.00044517203765755034	0.0017793087244823281
