subfigure	H	domain	xmin	density
A	Loops	Archaea	0.000377216144851	0
A	Loops	Archaea	0.000389524334284357	0
A	Loops	Archaea	0.000402234127756129	0
A	Loops	Archaea	0.000415358629208577	0
A	Loops	Archaea	0.000428911370152626	0
A	Loops	Archaea	0.000442906323619013	0
A	Loops	Archaea	0.000457357918564632	0
A	Loops	Archaea	0.000472281054748962	0
A	Loops	Archaea	0.000487691118095885	0
A	Loops	Archaea	0.000503603996556749	0
A	Loops	Archaea	0.000520036096491032	0
A	Loops	Archaea	0.000537004359581477	0
A	Loops	Archaea	0.00055452628030117	0
A	Loops	Archaea	0.000572619923950536	0.00362960872545844
A	Loops	Archaea	0.000591303945282872	0.00121018832199333
A	Loops	Archaea	0.000610597607737611	4.30577041109305e-06
A	Loops	Archaea	0.000630520803301147	0
A	Loops	Archaea	0.000651094073015698	0.00120848622871345
A	Loops	Archaea	0.000672338628157363	0
A	Loops	Archaea	0.000694276372105182	7.78329473194578e-07
A	Loops	Archaea	0.000716929922923771	2.43156182839728e-06
A	Loops	Archaea	0.000740322636682811	0.00181272934307017
A	Loops	Archaea	0.000764478631537416	0.000224819134143142
A	Loops	Archaea	0.000789422812594228	0.00117952359763388
A	Loops	Archaea	0.000815180897588871	0.00219837050237331
A	Loops	Archaea	0.000841779443401222	0.00144181428823041
A	Loops	Archaea	0.000869245873435866	0.00220804212274478
A	Loops	Archaea	0.000897608505895935	0.00171129594121811
A	Loops	Archaea	0.000926896582979496	0.00335125906295955
A	Loops	Archaea	0.000957140301028598	0.00503932383507497
A	Loops	Archaea	0.000988370841662044	0.00478211708609757
A	Loops	Archaea	0.00102062040392399	0.00541988142096393
A	Loops	Archaea	0.00105392223748153	0.00588818042513678
A	Loops	Archaea	0.0010883106769055	0.00901761408817148
A	Loops	Archaea	0.00112382117706977	0.00753731465628644
A	Loops	Archaea	0.00116049034970568	0.00909098140120921
A	Loops	Archaea	0.0011983560011491	0.00602047691489111
A	Loops	Archaea	0.00123745717131924	0.00824359159559301
A	Loops	Archaea	0.00127783417396922	0.0239098322534165
A	Loops	Archaea	0.00131952863825002	0.00964679276207515
A	Loops	Archaea	0.00136258355163062	0.0102961352060407
A	Loops	Archaea	0.00140704330421854	0.00975153260542551
A	Loops	Archaea	0.00145295373452661	0.0108431281463063
A	Loops	Archaea	0.00150036217673292	0.00932587805185458
A	Loops	Archaea	0.00154931750948297	0.0147436621841879
A	Loops	Archaea	0.00159987020628408	0.0352665392685763
A	Loops	Archaea	0.00165207238754412	0.0136501974640271
A	Loops	Archaea	0.00170597787430834	0.0181805465588343
A	Loops	Archaea	0.00176164224374935	0.0218517058212048
A	Loops	Archaea	0.00181912288646796	0.0198988254356637
A	Loops	Archaea	0.00187847906566344	0.0182040172848619
A	Loops	Archaea	0.0019397719782346	0.0204771310736972
A	Loops	Archaea	0.00200306481787448	0.0147047533449031
A	Loops	Archaea	0.00206842284022379	0.0168068907589108
A	Loops	Archaea	0.0021359134301502	0.0161274869832571
A	Loops	Archaea	0.00220560617122289	0.0198022184221174
