subfigure	H	domain	xmin	density
A	Loops	Archaea	0.00227757291745406	0.0222990836686367
A	Loops	Archaea	0.00235188786738119	0.0264963818595454
A	Loops	Archaea	0.00242862764056661	0.019970549758688
A	Loops	Archaea	0.0025078713565931	0.0272768515423704
A	Loops	Archaea	0.00258970071663715	0.0201825957884995
A	Loops	Archaea	0.00267420008770373	0.0167679784386074
A	Loops	Archaea	0.00276145658960971	0.0201505158372982
A	Loops	Archaea	0.00285156018480534	0.0150655725314241
A	Loops	Archaea	0.00294460377112656	0.0191788922635399
A	Loops	Archaea	0.00304068327757377	0.0160811595262344
A	Loops	Archaea	0.00313989776321569	0.0157902811187236
A	Loops	Archaea	0.0032423495193204	0.0390602247928975
A	Loops	Archaea	0.00334814417481881	0.0160751532344389
A	Loops	Archaea	0.0034573908052093	0.0174110509462571
A	Loops	Archaea	0.00357020204501578	0.0247698789707562
A	Loops	Archaea	0.00368669420391521	0.0179245265535433
A	Loops	Archaea	0.00380698738665417	0.0155900231207321
A	Loops	Archaea	0.00393120561687825	0.0135474401899455
A	Loops	Archaea	0.00405947696500183	0.0156340592595451
A	Loops	Archaea	0.00419193368025014	0.0174695495642841
A	Loops	Archaea	0.00432871232700972	0.0118266210489726
A	Loops	Archaea	0.00446995392562791	0.00971823751061094
A	Loops	Archaea	0.00461580409780636	0.0111415465405238
A	Loops	Archaea	0.0047664132167387	0.00762636631511212
A	Loops	Archaea	0.00492193656214708	0.0201057275250189
A	Loops	Archaea	0.00508253448037723	0.0319271460412344
A	Loops	Archaea	0.00524837254971745	0.00963366007433203
A	Loops	Archaea	0.00541962175111171	0.00697812603395076
A	Loops	Archaea	0.00559645864444292	0.00738762977962413
A	Loops	Archaea	0.00577906555056822	0.00898417187992192
A	Loops	Archaea	0.00596763073929385	0.010611860253898
A	Loops	Archaea	0.00616234862348347	0.0108410925080344
A	Loops	Archaea	0.00636341995950007	0.00535970994879425
A	Loops	Archaea	0.00657105205418804	0.00961545209027149
A	Loops	Archaea	0.0067854589786089	0.00422092564186674
A	Loops	Archaea	0.00700686178875104	0.00812892441208187
A	Loops	Archaea	0.00723548875344091	0.00323073441535705
A	Loops	Archaea	0.00747157558969086	0.00355732734969991
A	Loops	Archaea	0.00771536570572603	0.00424367960988789
A	Loops	Archaea	0.007967110451941	0.00362994747566581
A	Loops	Archaea	0.00822706938004495	0.00321642394426904
A	Loops	Archaea	0.00849551051066242	0.00145736294973648
A	Loops	Archaea	0.00877271060966564	0.00303872357556526
A	Loops	Archaea	0.0090589554735233	0.00261155032795212
A	Loops	Archaea	0.00935454022395998	0.00152619627869002
A	Loops	Archaea	0.00965976961223004	0.00146995161997674
A	Loops	Archaea	0.00997495833331959	0.00133362769153474
A	Loops	Archaea	0.0103004313504007	0.00195983561849427
A	Loops	Archaea	0.0106365242298719	0.00524589817046991
A	Loops	Archaea	0.0109835834873315	0.00160479883230795
A	Loops	Archaea	0.0113419669448385	0.00178313007752061
A	Loops	Archaea	0.0117120440998317	0.000859761099729228
A	Loops	Archaea	0.0120941965060854	0.000352111343826335
A	Loops	Archaea	0.0124888181670961	0.000321729799452756
A	Loops	Archaea	0.0128963159423042	0.000348010853686089
A	Loops	Archaea	0.0133171099665712	0.00121749636127902
A	Loops	Archaea	0.0137516340833429	0.000370276060726656
A	Loops	Archaea	0.0142003362919476	8.85418262372569e-05
A	Loops	Archaea	0.0146636792094881	0.000171927547762074
A	Loops	Archaea	0.0151421405478056	8.59512095094821e-05
A	Loops	Archaea	0.0156362136060055	9.90193558846554e-05
A	Loops	Archaea	0.0161464077790549	3.99423849120163e-05
A	Loops	Archaea	0.0166732490829746	0.000162095322792706
A	Loops	Archaea	0.0172172806971672	0.000261489882267236
A	Loops	Archaea	0.0177790635244418	0.000103497969970235
A	Loops	Archaea	0.0183591767693108	1.53380925301473e-05
A	Loops	Archaea	0.0189582185351569	4.21735943520891e-06
A	Loops	Archaea	0.0195768064408836	4.43054279866349e-06
A	Loops	Archaea	0.0202155782576884	5.84402352392832e-06
A	Loops	Archaea	0.0208751925666114	4.14768557399797e-06
A	Loops	Archaea	0.0215563294375402	7.08357536447285e-06
A	Loops	Archaea	0.02225969113037	8.33564809579987e-08
A	Loops	Archaea	0.0229860028190407	4.39023817648383e-07
A	Loops	Archaea	0.0237360133392007	4.17065530169039e-06
A	Loops	Archaea	0.024510495960264	3.60728406874564e-07
A	Loops	Archaea	0.0253102491826602	2.63121649290062e-06
A	Loops	Archaea	0.0261360975610977	0
A	Loops	Archaea	0.0269888925546889	5.98458020161827e-07
A	Loops	Archaea	0.0278695134048141	0
A	Loops	Archaea	0.0287788680416296	0
A	Loops	Archaea	0.0297178940201542	2.41777838355475e-07
A	Loops	Archaea	0.0306875594868986	0
A	Loops	Archaea	0.0316888641780363	0
A	Loops	Archaea	0.0327228404501422	0
A	Loops	Archaea	0.0337905543445646	0
A	Loops	Archaea	0.0348931066865258	0
A	Loops	Archaea	0.0360316342200855	0
A	Loops	Bacteria	0.000377216144851	0
A	Loops	Bacteria	0.000389524334284357	0
A	Loops	Bacteria	0.000402234127756129	1.39289155735586e-08
A	Loops	Bacteria	0.000415358629208577	3.41601442357726e-08
A	Loops	Bacteria	0.000428911370152626	0
A	Loops	Bacteria	0.000442906323619013	1.21467877697862e-07
A	Loops	Bacteria	0.000457357918564632	6.77302282668039e-08
A	Loops	Bacteria	0.000472281054748962	7.78556185497434e-08
A	Loops	Bacteria	0.000487691118095885	1.21728966452189e-07
A	Loops	Bacteria	0.000503603996556749	9.12081710151432e-08
A	Loops	Bacteria	0.000520036096491032	3.34900127842951e-08
A	Loops	Bacteria	0.000537004359581477	5.10205839825843e-07
A	Loops	Bacteria	0.00055452628030117	6.54405084627401e-06
A	Loops	Bacteria	0.000572619923950536	8.50627113794281e-08
A	Loops	Bacteria	0.000591303945282872	8.75735560473399e-07
A	Loops	Bacteria	0.000610597607737611	1.39289155735586e-08
A	Loops	Bacteria	0.000630520803301147	1.68310451898905e-07
A	Loops	Bacteria	0.000651094073015698	1.14835376934662e-06
A	Loops	Bacteria	0.000672338628157363	5.67274519909678e-06
A	Loops	Bacteria	0.000694276372105182	5.68130348688871e-05
A	Loops	Bacteria	0.000716929922923771	1.72343588780345e-06
A	Loops	Bacteria	0.000740322636682811	2.53883373126953e-06
A	Loops	Bacteria	0.000764478631537416	0.0005717949683002
A	Loops	Bacteria	0.000789422812594228	0.0011390495184827
A	Loops	Bacteria	0.000815180897588871	0.00162883638392454
A	Loops	Bacteria	0.000841779443401222	0.00241277655899647
A	Loops	Bacteria	0.000869245873435866	0.00271279068934828
A	Loops	Bacteria	0.000897608505895935	0.00206069849871114
A	Loops	Bacteria	0.000926896582979496	0.00280811143890042
A	Loops	Bacteria	0.000957140301028598	0.00296753110404155
A	Loops	Bacteria	0.000988370841662044	0.00252600722495668
A	Loops	Bacteria	0.00102062040392399	0.00253975979833993
A	Loops	Bacteria	0.00105392223748153	0.00348546094958306
A	Loops	Bacteria	0.0010883106769055	0.00339373106219163
A	Loops	Bacteria	0.00112382117706977	0.00409951163687523
A	Loops	Bacteria	0.00116049034970568	0.00379068517179358
A	Loops	Bacteria	0.0011983560011491	0.00439168768296901
A	Loops	Bacteria	0.00123745717131924	0.00714280334360712
A	Loops	Bacteria	0.00127783417396922	0.00487353863167726
A	Loops	Bacteria	0.00131952863825002	0.00623555880178472
A	Loops	Bacteria	0.00136258355163062	0.00518748343153848
A	Loops	Bacteria	0.00140704330421854	0.00556592658387357
A	Loops	Bacteria	0.00145295373452661	0.00664976808544215
A	Loops	Bacteria	0.00150036217673292	0.00713018565841984
A	Loops	Bacteria	0.00154931750948297	0.00745578799293126
A	Loops	Bacteria	0.00159987020628408	0.0096222145041081
A	Loops	Bacteria	0.00165207238754412	0.0073007339042628
A	Loops	Bacteria	0.00170597787430834	0.00690982059978292
A	Loops	Bacteria	0.00176164224374935	0.00666265725633635
A	Loops	Bacteria	0.00181912288646796	0.0164785511489604
A	Loops	Bacteria	0.00187847906566344	0.0114452069616754
A	Loops	Bacteria	0.0019397719782346	0.00813797025192798
A	Loops	Bacteria	0.00200306481787448	0.00986150169155428
A	Loops	Bacteria	0.00206842284022379	0.0162469741632129
A	Loops	Bacteria	0.0021359134301502	0.0120654528229632
A	Loops	Bacteria	0.00220560617122289	0.0128090399338544
A	Loops	Bacteria	0.00227757291745406	0.015901351775451
A	Loops	Bacteria	0.00235188786738119	0.0223256155865429
A	Loops	Bacteria	0.00242862764056661	0.0322746198067448
A	Loops	Bacteria	0.0025078713565931	0.0436811773475823
A	Loops	Bacteria	0.00258970071663715	0.0252704329292356
A	Loops	Bacteria	0.00267420008770373	0.0160441145606604
A	Loops	Bacteria	0.00276145658960971	0.015168469116849
A	Loops	Bacteria	0.00285156018480534	0.0145703565047804
A	Loops	Bacteria	0.00294460377112656	0.0175667336786661
A	Loops	Bacteria	0.00304068327757377	0.0206491817915201
A	Loops	Bacteria	0.00313989776321569	0.0170308253242386
A	Loops	Bacteria	0.0032423495193204	0.0186153855452986
A	Loops	Bacteria	0.00334814417481881	0.0190279724758694
A	Loops	Bacteria	0.0034573908052093	0.0174516254406665
A	Loops	Bacteria	0.00357020204501578	0.0165020114826377
A	Loops	Bacteria	0.00368669420391521	0.0165926403308345
A	Loops	Bacteria	0.00380698738665417	0.0191094503275196
A	Loops	Bacteria	0.00393120561687825	0.0159984136290884
A	Loops	Bacteria	0.00405947696500183	0.0159615893376642
A	Loops	Bacteria	0.00419193368025014	0.0359508687537873
A	Loops	Bacteria	0.00432871232700972	0.048788192307822
A	Loops	Bacteria	0.00446995392562791	0.0638184005224456
A	Loops	Bacteria	0.00461580409780636	0.0256180241334547
A	Loops	Bacteria	0.0047664132167387	0.0305917520847374
A	Loops	Bacteria	0.00492193656214708	0.0170204619352883
A	Loops	Bacteria	0.00508253448037723	0.0114271709412174
A	Loops	Bacteria	0.00524837254971745	0.019202056099961
A	Loops	Bacteria	0.00541962175111171	0.0145448789991915
A	Loops	Bacteria	0.00559645864444292	0.0118731017603984
A	Loops	Bacteria	0.00577906555056822	0.00855528906736939
A	Loops	Bacteria	0.00596763073929385	0.0118566299096692
A	Loops	Bacteria	0.00616234862348347	0.00680689297109499
A	Loops	Bacteria	0.00636341995950007	0.0066873475884211
A	Loops	Bacteria	0.00657105205418804	0.0323017916759166
A	Loops	Bacteria	0.0067854589786089	0.0132927330204718
A	Loops	Bacteria	0.00700686178875104	0.0054500606854309
A	Loops	Bacteria	0.00723548875344091	0.00842446487869072
A	Loops	Bacteria	0.00747157558969086	0.0053221445357141
A	Loops	Bacteria	0.00771536570572603	0.00549526808540185
A	Loops	Bacteria	0.007967110451941	0.00667116738289614
A	Loops	Bacteria	0.00822706938004495	0.00219767949801894
A	Loops	Bacteria	0.00849551051066242	0.00339414790804991
A	Loops	Bacteria	0.00877271060966564	0.000954238055875681
A	Loops	Bacteria	0.0090589554735233	0.00185788495006746
A	Loops	Bacteria	0.00935454022395998	0.00198494576938508
A	Loops	Bacteria	0.00965976961223004	0.000819637334551713
A	Loops	Bacteria	0.00997495833331959	0.00230767494739904
A	Loops	Bacteria	0.0103004313504007	0.00137481393771839
A	Loops	Bacteria	0.0106365242298719	0.00087762554689886
A	Loops	Bacteria	0.0109835834873315	0.00123416853334861
A	Loops	Bacteria	0.0113419669448385	0.00158945207373837
A	Loops	Bacteria	0.0117120440998317	0.00034104109689043
A	Loops	Bacteria	0.0120941965060854	0.000390416465857888
A	Loops	Bacteria	0.0124888181670961	0.00023954973642389
A	Loops	Bacteria	0.0128963159423042	0.000323906564115574
A	Loops	Bacteria	0.0133171099665712	0.000400189184876823
A	Loops	Bacteria	0.0137516340833429	0.000245042726136575
A	Loops	Bacteria	0.0142003362919476	0.000667091791104715
A	Loops	Bacteria	0.0146636792094881	0.000420718766126303
A	Loops	Bacteria	0.0151421405478056	0.000216320692044064
A	Loops	Bacteria	0.0156362136060055	9.15674442989304e-05
A	Loops	Bacteria	0.0161464077790549	1.86590942001187e-05
A	Loops	Bacteria	0.0166732490829746	1.35600564559872e-05
A	Loops	Bacteria	0.0172172806971672	0.000141453277995342
A	Loops	Bacteria	0.0177790635244418	1.0634633051437e-05
A	Loops	Bacteria	0.0183591767693108	3.30862603619694e-05
A	Loops	Bacteria	0.0189582185351569	3.25191671304017e-06
A	Loops	Bacteria	0.0195768064408836	4.27720065920456e-06
A	Loops	Bacteria	0.0202155782576884	3.48340365057118e-06
A	Loops	Bacteria	0.0208751925666114	3.20698081319206e-06
A	Loops	Bacteria	0.0215563294375402	3.44232951194342e-06
A	Loops	Bacteria	0.02225969113037	1.24401500226794e-06
A	Loops	Bacteria	0.0229860028190407	7.72399574462893e-07
A	Loops	Bacteria	0.0237360133392007	2.27474137100781e-06
A	Loops	Bacteria	0.024510495960264	1.29256128194146e-06
A	Loops	Bacteria	0.0253102491826602	1.66406789537934e-06
A	Loops	Bacteria	0.0261360975610977	1.80390165272218e-06
A	Loops	Bacteria	0.0269888925546889	5.97075201381515e-07
A	Loops	Bacteria	0.0278695134048141	9.77926340884236e-08
A	Loops	Bacteria	0.0287788680416296	6.52895196221725e-08
A	Loops	Bacteria	0.0297178940201542	3.97059267866796e-08
A	Loops	Bacteria	0.0306875594868986	4.18168675441772e-09
A	Loops	Bacteria	0.0316888641780363	3.67261710764203e-08
A	Loops	Bacteria	0.0327228404501422	1.13114680313598e-08
A	Loops	Bacteria	0.0337905543445646	0
A	Loops	Bacteria	0.0348931066865258	0
A	Loops	Bacteria	0.0360316342200855	0
A	Loops	Eukaryota	0.000377216144851	5.85546861352372e-06
A	Loops	Eukaryota	0.000389524334284357	4.07397905932477e-06
A	Loops	Eukaryota	0.000402234127756129	3.36451705094111e-06
A	Loops	Eukaryota	0.000415358629208577	3.58273711541804e-06
A	Loops	Eukaryota	0.000428911370152626	5.10356792276253e-09
A	Loops	Eukaryota	0.000442906323619013	3.42383011791157e-08
A	Loops	Eukaryota	0.000457357918564632	2.85344660432102e-08
A	Loops	Eukaryota	0.000472281054748962	3.16660977663296e-08
A	Loops	Eukaryota	0.000487691118095885	2.69921513001141e-08
A	Loops	Eukaryota	0.000503603996556749	2.29474326987335e-08
A	Loops	Eukaryota	0.000520036096491032	4.76483984555192e-08
A	Loops	Eukaryota	0.000537004359581477	9.51411354102394e-07
A	Loops	Eukaryota	0.00055452628030117	3.33024912321239e-07
A	Loops	Eukaryota	0.000572619923950536	4.2921196346615e-08
A	Loops	Eukaryota	0.000591303945282872	8.05708125331167e-08
A	Loops	Eukaryota	0.000610597607737611	3.35553563370657e-07
A	Loops	Eukaryota	0.000630520803301147	1.39706705869584e-07
A	Loops	Eukaryota	0.000651094073015698	2.04311579929138e-07
A	Loops	Eukaryota	0.000672338628157363	1.5309804977982e-06
A	Loops	Eukaryota	0.000694276372105182	2.37916539648987e-06
A	Loops	Eukaryota	0.000716929922923771	7.08655618161703e-07
A	Loops	Eukaryota	0.000740322636682811	3.42553973929297e-07
A	Loops	Eukaryota	0.000764478631537416	2.92584365238845e-05
A	Loops	Eukaryota	0.000789422812594228	0.000107937662276663
A	Loops	Eukaryota	0.000815180897588871	5.35693854524314e-05
A	Loops	Eukaryota	0.000841779443401222	0.000103360337808234
A	Loops	Eukaryota	0.000869245873435866	0.000212246633255651
A	Loops	Eukaryota	0.000897608505895935	0.000189006908119504
A	Loops	Eukaryota	0.000926896582979496	0.000174663749350354
A	Loops	Eukaryota	0.000957140301028598	0.000463449894542738
A	Loops	Eukaryota	0.000988370841662044	0.000363737564941884
A	Loops	Eukaryota	0.00102062040392399	0.000383500361014355
A	Loops	Eukaryota	0.00105392223748153	0.000388746111280546
A	Loops	Eukaryota	0.0010883106769055	0.000692017901416551
A	Loops	Eukaryota	0.00112382117706977	0.000622128543590566
A	Loops	Eukaryota	0.00116049034970568	0.000378400951696315
A	Loops	Eukaryota	0.0011983560011491	0.000526494258450782
A	Loops	Eukaryota	0.00123745717131924	0.00054052391633993
A	Loops	Eukaryota	0.00127783417396922	0.000562933410088286
A	Loops	Eukaryota	0.00131952863825002	0.00304813715266925
A	Loops	Eukaryota	0.00136258355163062	0.00136090047542087
A	Loops	Eukaryota	0.00140704330421854	0.00816994033322698
A	Loops	Eukaryota	0.00145295373452661	0.0117012916355705
A	Loops	Eukaryota	0.00150036217673292	0.00441159774482136
A	Loops	Eukaryota	0.00154931750948297	0.00515548884317846
A	Loops	Eukaryota	0.00159987020628408	0.00665317392340187
A	Loops	Eukaryota	0.00165207238754412	0.0046103978871959
A	Loops	Eukaryota	0.00170597787430834	0.00270244859810279
A	Loops	Eukaryota	0.00176164224374935	0.00338831210653603
A	Loops	Eukaryota	0.00181912288646796	0.00405668650585883
A	Loops	Eukaryota	0.00187847906566344	0.00319617917173413
A	Loops	Eukaryota	0.0019397719782346	0.0021130265644625
A	Loops	Eukaryota	0.00200306481787448	0.00592144765863104
A	Loops	Eukaryota	0.00206842284022379	0.00490532189858601
A	Loops	Eukaryota	0.0021359134301502	0.00308633164223941
A	Loops	Eukaryota	0.00220560617122289	0.0021503158650265
A	Loops	Eukaryota	0.00227757291745406	0.00267723318659344
A	Loops	Eukaryota	0.00235188786738119	0.0052670654433651
A	Loops	Eukaryota	0.00242862764056661	0.00610079348511582
A	Loops	Eukaryota	0.0025078713565931	0.0105374772764718
A	Loops	Eukaryota	0.00258970071663715	0.0148729955978782
A	Loops	Eukaryota	0.00267420008770373	0.0169354986216193
A	Loops	Eukaryota	0.00276145658960971	0.0140098430258098
A	Loops	Eukaryota	0.00285156018480534	0.0342317014108024
A	Loops	Eukaryota	0.00294460377112656	0.0389933714718353
A	Loops	Eukaryota	0.00304068327757377	0.0232755683447437
A	Loops	Eukaryota	0.00313989776321569	0.018468092814493
A	Loops	Eukaryota	0.0032423495193204	0.0161290195186693
A	Loops	Eukaryota	0.00334814417481881	0.0153307590173944
A	Loops	Eukaryota	0.0034573908052093	0.012790607501653
A	Loops	Eukaryota	0.00357020204501578	0.0108736057776527
A	Loops	Eukaryota	0.00368669420391521	0.0112400574803859
A	Loops	Eukaryota	0.00380698738665417	0.00996803187629107
A	Loops	Eukaryota	0.00393120561687825	0.0190846109231229
A	Loops	Eukaryota	0.00405947696500183	0.0162900878287059
A	Loops	Eukaryota	0.00419193368025014	0.0294627991185625
A	Loops	Eukaryota	0.00432871232700972	0.0715411449500168
A	Loops	Eukaryota	0.00446995392562791	0.0279316616151519
A	Loops	Eukaryota	0.00461580409780636	0.0184523092948915
A	Loops	Eukaryota	0.0047664132167387	0.017725190376736
A	Loops	Eukaryota	0.00492193656214708	0.0200375807674451
A	Loops	Eukaryota	0.00508253448037723	0.0250611104505265
A	Loops	Eukaryota	0.00524837254971745	0.0236289452379969
A	Loops	Eukaryota	0.00541962175111171	0.0222268731945657
A	Loops	Eukaryota	0.00559645864444292	0.025289997952252
A	Loops	Eukaryota	0.00577906555056822	0.0170741489848864
A	Loops	Eukaryota	0.00596763073929385	0.0161566047679527
A	Loops	Eukaryota	0.00616234862348347	0.014552971686012
A	Loops	Eukaryota	0.00636341995950007	0.012489047928467
A	Loops	Eukaryota	0.00657105205418804	0.0134331912690826
A	Loops	Eukaryota	0.0067854589786089	0.0370308683254601
A	Loops	Eukaryota	0.00700686178875104	0.0124745001928915
A	Loops	Eukaryota	0.00723548875344091	0.0341919743634387
A	Loops	Eukaryota	0.00747157558969086	0.0280068669172459
A	Loops	Eukaryota	0.00771536570572603	0.0262348102146998
A	Loops	Eukaryota	0.007967110451941	0.0143644146770318
A	Loops	Eukaryota	0.00822706938004495	0.0313383809397307
A	Loops	Eukaryota	0.00849551051066242	0.0256806283377831
A	Loops	Eukaryota	0.00877271060966564	0.00793459059820297
A	Loops	Eukaryota	0.0090589554735233	0.00880923714188809
A	Loops	Eukaryota	0.00935454022395998	0.00416453322209201
A	Loops	Eukaryota	0.00965976961223004	0.00551332512745939
A	Loops	Eukaryota	0.00997495833331959	0.00561540394927234
A	Loops	Eukaryota	0.0103004313504007	0.00391224002537341
A	Loops	Eukaryota	0.0106365242298719	0.00457217886115748
A	Loops	Eukaryota	0.0109835834873315	0.00350273208367838
A	Loops	Eukaryota	0.0113419669448385	0.00150155912677439
A	Loops	Eukaryota	0.0117120440998317	0.000888172584948342
A	Loops	Eukaryota	0.0120941965060854	0.000646008158358714
A	Loops	Eukaryota	0.0124888181670961	0.000517171149136955
A	Loops	Eukaryota	0.0128963159423042	0.00114135246535742
A	Loops	Eukaryota	0.0133171099665712	0.00128445655396135
A	Loops	Eukaryota	0.0137516340833429	0.000543912225985624
A	Loops	Eukaryota	0.0142003362919476	0.00147369571505824
A	Loops	Eukaryota	0.0146636792094881	0.000728810617294207
A	Loops	Eukaryota	0.0151421405478056	0.00035986351601063
A	Loops	Eukaryota	0.0156362136060055	0.000528652071885933
A	Loops	Eukaryota	0.0161464077790549	0.000907175876037394
A	Loops	Eukaryota	0.0166732490829746	0.000203296153222079
A	Loops	Eukaryota	0.0172172806971672	0.000580190815342581
A	Loops	Eukaryota	0.0177790635244418	0.000221449758695272
A	Loops	Eukaryota	0.0183591767693108	0.000192806159952875
A	Loops	Eukaryota	0.0189582185351569	0.00022670680821761
A	Loops	Eukaryota	0.0195768064408836	5.15772430976889e-07
A	Loops	Eukaryota	0.0202155782576884	1.97686288201473e-06
A	Loops	Eukaryota	0.0208751925666114	9.58382380666218e-05
A	Loops	Eukaryota	0.0215563294375402	4.65443062333684e-06
A	Loops	Eukaryota	0.02225969113037	4.97907264540352e-07
A	Loops	Eukaryota	0.0229860028190407	4.16566887983363e-07
A	Loops	Eukaryota	0.0237360133392007	4.5600170365551e-07
A	Loops	Eukaryota	0.024510495960264	1.63123323750359e-05
A	Loops	Eukaryota	0.0253102491826602	5.78058781633483e-08
A	Loops	Eukaryota	0.0261360975610977	1.58705290871346e-08
A	Loops	Eukaryota	0.0269888925546889	2.93052665834728e-08
A	Loops	Eukaryota	0.0278695134048141	1.44750982950114e-07
A	Loops	Eukaryota	0.0287788680416296	1.37258297292286e-08
A	Loops	Eukaryota	0.0297178940201542	4.59658023642217e-09
A	Loops	Eukaryota	0.0306875594868986	8.25302188882647e-10
A	Loops	Eukaryota	0.0316888641780363	2.33307771250508e-09
A	Loops	Eukaryota	0.0327228404501422	6.3843698743597e-10
A	Loops	Eukaryota	0.0337905543445646	7.49428018156409e-10
A	Loops	Eukaryota	0.0348931066865258	1.32717789789897e-09
A	Loops	Eukaryota	0.0360316342200855	3.0780614771145e-10
B	Loops	Archaea	0	3.35313052147729e-05
B	Loops	Archaea	0.0111428571428571	1.08051531904133e-06
B	Loops	Archaea	0.0222857142857143	3.06474721243972e-06
B	Loops	Archaea	0.0334285714285714	2.71624857021809e-06
B	Loops	Archaea	0.0445714285714286	2.48427253664048e-06
B	Loops	Archaea	0.0557142857142857	2.52235547922597e-06
B	Loops	Archaea	0.0668571428571429	1.87190804393062e-06
B	Loops	Archaea	0.078	1.13722860106943e-06
B	Loops	Archaea	0.0891428571428571	3.95610996515949e-06
B	Loops	Archaea	0.100285714285714	2.55958275591345e-06
B	Loops	Archaea	0.111428571428571	2.0890304652219e-06
B	Loops	Archaea	0.122571428571429	1.85801271826399e-06
B	Loops	Archaea	0.133714285714286	1.52429312232844e-06
B	Loops	Archaea	0.144857142857143	6.58741414169776e-07
B	Loops	Archaea	0.156	1.64601342959768e-06
B	Loops	Archaea	0.167142857142857	7.02346890291846e-07
B	Loops	Archaea	0.178285714285714	2.11582322572642e-06
B	Loops	Archaea	0.189428571428571	1.85349974079916e-06
B	Loops	Archaea	0.200571428571429	3.78621205483494e-07
B	Loops	Archaea	0.211714285714286	1.9919907020329e-06
B	Loops	Archaea	0.222857142857143	1.16577536443149e-06
B	Loops	Archaea	0.234	2.07623280900474e-06
B	Loops	Archaea	0.245142857142857	1.55055255346604e-05
B	Loops	Archaea	0.256285714285714	2.36825039133272e-05
B	Loops	Archaea	0.267428571428571	1.43852060911266e-05
B	Loops	Archaea	0.278571428571429	2.77470210377936e-06
B	Loops	Archaea	0.289714285714286	6.10928835538098e-07
B	Loops	Archaea	0.300857142857143	1.36631727905243e-06
B	Loops	Archaea	0.312	1.7916473215417e-06
B	Loops	Archaea	0.323142857142857	3.54536240710469e-06
B	Loops	Archaea	0.334285714285714	1.40495777841636e-06
B	Loops	Archaea	0.345428571428571	1.30348772419713e-06
B	Loops	Archaea	0.356571428571429	8.56580390216129e-07
B	Loops	Archaea	0.367714285714286	1.20905914222762e-06
B	Loops	Archaea	0.378857142857143	1.57147648100744e-06
B	Loops	Archaea	0.39	1.84812264909479e-06
B	Loops	Archaea	0.401142857142857	1.65175459658776e-06
