SequenceCategory	Sequence	EC	PathwayCategory	Pathway	Uniprot
Ribokinase-like	Rhamnulo	2.7.1.5	Several roles	Pentose cycle	RHAK/SALTY
Ribokinase-like	Fructo	2.7.1.4	Several roles	Glycolysis, sucrose	SCRK_VIBAL
Ribokinase-like	Fructo	2.7.1.4	Several roles	Glycolysis, sucrose	SCRK_SALTY
Ribokinase-like	Fructo	2.7.1.4	Several roles	Glycolysis, sucrose	SCRK/KLEPN
Ribokinase-like	Ribo	2.7.1.15	Several roles	Pentose cycle, nucleotide metabolism	RBSK_ECOLI
Ribokinase-like	Ribo	2.7.1.15	Several roles	Pentose cycle, nucleotide metabolism	RBSK/YEAST
Ribokinase-like	Ribo	2.7.1.15	Several roles	Pentose cycle, nucleotide metabolism	RBSK/PACDE
Ribokinase-like	6-Phosphofructo	2.7.1.11	Several roles	Glycolysis?	K6P2_ECOLI
Ribokinase-like	6-Phosphotagato	2.7.1.11	Several roles	Glycolysis?	K6PT/STAAU
Ribokinase-like	6-Phosphotagato	2.7.1.11	Several roles	Glycolysis?	LACC_STAAU
Ribokinase-like	6-Phosphotagato	2.7.1.11	Several roles	Glycolysis?	K6PT/STRMU
Ribokinase-like	6-Phosphotagato	2.7.1.11	Several roles	Glycolysis?	K6PT/LACLA
Ribokinase-like	6-Phosphotagato	2.7.1.11	Several roles	Glycolysis?	LACC_LACLA
Ribokinase-like	1-Phosphofructo	2.7.1.56	Several roles	Glycolysis	K1PF_ECOLI
Ribokinase-like	1-Phosphofructo	2.7.1.56	Several roles	Glycolysis	K1PF_RHOCA
Ribokinase-like	1-Phosphofructo	2.7.1.56	Several roles	Glycolysis	K1PF_XANCP
Ribokinase-like	Inosine-guanosine	2.7.1.73	Several roles	Purine metabolism	INGK_ECOLI
Galactokinase-like	Inosine-guanosine	2.7.1.73	Mainly anabolic	Purine metabolism	INGK_ECOLI
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GAL1_ECOLI
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GAL1_KLULA
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GAL1_SACCA
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GALI_SALTY
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GAL1_STRLI
Galactokinase-like	Galacto	2.7.1.6	Mainly anabolic	Lactose cycle	GAL1/LACHE
Galactokinase-like	Mevalonate	2.7.1.36	Mainly anabolic	Cholesterol synthesis	KIME_RAT
Galactokinase-like	Mevalonate	2.7.1.36	Mainly anabolic	Cholesterol synthesis	KIME_YEAST
Galactokinase-like	P-mevalonate	2.7.4.2	Mainly anabolic	Cholesterol synthesis	ERG8_YEAST
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHSE_BACSU
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHSE_BRELA
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHSE_CORGL
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHSE_ECOLI
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHDE_FREDI
Galactokinase-like	Homoserine	2.7.1.39	Mainly anabolic	Threonine synthesis	KHSE_YEAST
