bucket,domain,freq,weighted,h,meas
56,E,198,13.335230900834786618012818,1,nrep
57,A,3,0.000431927081367650191299,1,nrep
57,B,218,0.426724870534427618920560,1,nrep
57,E,698,222.766799209555841785223599,1,nrep
58,A,5,0.003340601872141762796418,1,nrep
58,B,191,0.051746846955605526175860,1,nrep
58,E,245,6.797886708859840553038475,1,nrep
59,A,5,0.002213568848049888720607,1,nrep
59,B,247,0.377054377269716026444522,1,nrep
59,E,504,74.855360308217369971567937,1,nrep
60,A,8,0.002459607874086713338732,1,nrep
60,B,238,0.048684358234370351059868,1,nrep
60,E,358,49.704977188256376835853559,1,nrep
61,A,7,0.002586964943832777477559,1,nrep
61,B,209,0.381154135012243962815803,1,nrep
61,E,117,1.652274069676487667227672,1,nrep
62,A,2,0.00111066225538072909,1,nrep
62,B,191,0.077601928979157005125139,1,nrep
62,E,228,15.518457156977424761523120,1,nrep
63,A,4,0.000992287091894381762680,1,nrep
63,B,282,0.384637475549898552484032,1,nrep
63,E,216,9.949235676943882036465363,1,nrep
64,A,6,0.001729095837782524274751,1,nrep
64,B,218,0.041349069802710695076696,1,nrep
64,E,265,19.093370235749669637286307,1,nrep
65,A,9,0.003809283702931881461803,1,nrep
65,B,296,0.152452279193056165177001,1,nrep
65,E,373,22.315768178828178620152465,1,nrep
66,A,10,0.002814305049911660803954,1,nrep
66,B,193,0.074495105171332700971133,1,nrep
66,E,116,0.505750461458130312600180,1,nrep
67,A,1,0.000003216830456950766410,1,nrep
67,B,87,0.017905049938681496829321,1,nrep
67,E,77,0.053634530043541557343704,1,nrep
68,A,14,0.005313160250284267797510,1,nrep
68,B,344,0.070939117806968902351855,1,nrep
68,E,1250,283.528057135693464193738440,1,nrep
69,A,6,0.057062352145197674108718,1,nrep
69,B,153,0.030750666251408689016203,1,nrep
69,E,125,1.492787815168598190076408,1,nrep
70,A,12,0.093071482943949364498837,1,nrep
70,B,286,0.115734650457110566860575,1,nrep
70,E,282,12.841354110969506813011029,1,nrep
71,A,6,0.001325036955718936493643,1,nrep
71,B,204,0.187476026330847382204221,1,nrep
71,E,420,73.687307150877288858076658,1,nrep
72,A,5,0.000878193343646831377976,1,nrep
72,B,217,0.540385487001629634912404,1,nrep
72,E,189,13.546400936428287971396027,1,nrep
73,A,3,0.000026441517666835043492,1,nrep
73,B,250,0.066608686053023663088721,1,nrep
73,E,135,1.080757512712460925933177,1,nrep
74,A,2,0.00112406956210742785,1,nrep
74,B,203,0.084666924428030312388734,1,nrep
74,E,222,11.114910102389425471984815,1,nrep
75,A,4,0.056721173024827951686418,1,nrep
75,B,220,0.137117667968788086901360,1,nrep
75,E,338,44.834483585414184125034642,1,nrep
76,A,12,0.004032608131715929304855,1,nrep
76,B,229,0.245608932969410914891948,1,nrep
76,E,246,6.554720364214039650007458,1,nrep
77,A,15,0.005900069213897433644926,1,nrep
77,B,282,1.671478088166485650922012,1,nrep
77,E,286,18.411398472003663937955250,1,nrep
78,A,4,0.001229949217890984651534,1,nrep
78,B,169,0.037178754869930530983561,1,nrep
78,E,86,0.728213085648282467820773,1,nrep
79,A,3,0.000010429261803619885304,1,nrep
79,B,221,0.050673794368201959943040,1,nrep
79,E,319,59.648343265739918190433652,1,nrep
80,A,6,0.001152014272547226952517,1,nrep
80,B,284,4.997410504995554014468227,1,nrep
80,E,369,26.385798328985614358493816,1,nrep
81,A,4,0.001295323171018921836628,1,nrep
81,B,258,0.060974043884081074837299,1,nrep
81,E,265,25.711647624740671960046055,1,nrep
82,A,4,0.001795105625138463806628,1,nrep
82,B,222,0.069053428000435807957715,1,nrep
82,E,225,18.792881344214354524349052,1,nrep
83,A,8,0.001888230151355584400630,1,nrep
83,B,228,0.042877568516173825203091,1,nrep
83,E,163,3.777083781577953863078091,1,nrep
84,A,6,0.001813358637133861514829,1,nrep
84,B,227,0.061843572637613669650562,1,nrep
84,E,154,23.162657114624767634861608,1,nrep
85,A,5,0.001024310067793349846081,1,nrep
85,B,202,0.616762390595344025693660,1,nrep
85,E,214,13.624205896517793248641334,1,nrep
86,A,4,0.001517173437843321671923,1,nrep
86,B,271,0.050019623028945884725517,1,nrep
86,E,359,36.551928385610273298978591,1,nrep
87,A,14,0.004666313668925574083113,1,nrep
87,B,303,0.064856015010113217073540,1,nrep
87,E,249,6.316915738390577447155889,1,nrep
88,A,6,0.004899825377497575520323,1,nrep
88,B,256,0.046128892276294952362733,1,nrep
88,E,139,5.781036685317384078771055,1,nrep
89,A,1,0.000003216830456950766410,1,nrep
89,B,133,0.027055599961266854081602,1,nrep
89,E,128,0.010198372973404472880643,1,nrep
90,A,12,0.009359950755827642662016,1,nrep
90,B,542,0.317086518374526121338457,1,nrep
90,E,908,124.979506470834299544010448,1,nrep
91,B,41,0.007806943780436540270084,1,nrep
91,E,35,0.002530722007317099238549,1,nrep
92,A,6,0.001509131765613220138024,1,nrep
92,B,229,0.100600363868502618205439,1,nrep
92,E,121,0.020787110444737252632382,1,nrep
93,A,14,0.004143013376955807249310,1,nrep
93,B,283,0.059715702950570299542427,1,nrep
93,E,246,12.027795751789655132108277,1,nrep
94,A,8,0.002486979551143116529447,1,nrep
94,B,256,1.060461629403122701922931,1,nrep
94,E,233,13.061417132994022383852385,1,nrep
95,A,5,0.001741114232769613436208,1,nrep
95,B,224,0.727163893600563883713965,1,nrep
95,E,244,31.657374528697266174093330,1,nrep
96,A,4,0.001015837330532332001534,1,nrep
96,B,331,0.538090636478504936279550,1,nrep
96,E,242,6.763094663444601462605760,1,nrep
97,A,7,0.001190426763788515600073,1,nrep
97,B,307,0.114669570931195688318416,1,nrep
97,E,204,2.463309256441403156155720,1,nrep
98,A,7,0.001234383265656335302356,1,nrep
98,B,329,0.088699189127285663814995,1,nrep
98,E,206,12.324567607971601742075191,1,nrep
99,A,9,0.001021212880394633439691,1,nrep
99,B,260,0.043081982998091794184994,1,nrep
99,E,146,0.692941259555960002439362,1,nrep
100,A,6,0.001036417497722828680084,1,nrep
100,B,294,0.561934519387140226968573,1,nrep
100,E,311,25.763051359602255865209044,1,nrep
101,A,8,0.002427718324490602975261,1,nrep
101,B,351,0.141416882837380937176834,1,nrep
101,E,304,19.251314413448545204908760,1,nrep
102,A,6,0.001399909106968272988510,1,nrep
102,B,261,0.161319381269814112450843,1,nrep
102,E,139,1.427514773721283577978647,1,nrep
103,A,4,0.002202556288621962526410,1,nrep
103,B,391,0.522277208618873509824962,1,nrep
103,E,289,11.829308031265102187188587,1,nrep
104,A,3,0.000319007997640772483682,1,nrep
104,B,299,0.059111624480220621116014,1,nrep
