label	tax
Chlamydomonas reinhardtii	3055
Arabidopsis thaliana	3702
Oryza sativa	4530
Zea mays	4577
Schizosaccharomyces pombe	4896
Saccharomyces cerevisiae	4932
Neurospora crassa	5141
Tetrahymena thermophila	5911
Hydra vulgaris	6087
Caenorhabditis elegans	6239
Galleria mellonella	7137
Aedes aegypti	7159
Drosophila melanogaster	7227
Apis mellifera	7460
Strongylocentrotus purpuratus	7668
Ciona intestinalis	7719
Danio rerio	7955
Oryzias latipes	8090
Xenopus laevis	8355
Gallus gallus	9031
Macaca mulatta	9544
Homo sapiens	9606
Canis lupus	9612
Felis catus	9685
Sus scrofa	9823
Mus musculus	10090
Rattus norvegicus	10116
Dictyostelium discoideum	44689
Escherichia coli	562
