bucket,multicell,freq,weighted,h,meas
50,t,111,0.834193542798154034879001,1,nrep
51,f,207,20.432073249135706755394893,1,nrep
51,t,537,106.336027258510986912901051,1,nrep
52,f,26,0.638202738150829020496138,1,nrep
52,t,238,15.977407392979998659759177,1,nrep
53,f,61,0.551029635612245100728392,1,nrep
53,t,136,0.543326700976265176005884,1,nrep
54,f,60,3.128343346886340433787718,1,nrep
54,t,406,46.632176579337096864229489,1,nrep
55,f,9,0.048764670816873294995971,1,nrep
55,t,50,0.003588769593561688907702,1,nrep
56,f,44,1.429920473563727317383536,1,nrep
56,t,154,11.905310427271059300629282,1,nrep
57,f,27,0.497257378413981053343805,1,nrep
57,t,671,222.269541831141860731879794,1,nrep
58,f,75,3.317761594595530747037753,1,nrep
58,t,170,3.480125114264309806000722,1,nrep
59,f,200,18.163022316829657935337357,1,nrep
59,t,304,56.692337991387712036230580,1,nrep
60,f,52,4.618026019016818943359976,1,nrep
60,t,306,45.086951169239557892493583,1,nrep
61,f,28,0.147344339824402740193688,1,nrep
61,t,89,1.504929729852084927033984,1,nrep
62,f,22,0.367126116247753974662770,1,nrep
62,t,206,15.151331040729670786860350,1,nrep
63,f,42,3.470417344825961053492671,1,nrep
63,t,174,6.478818332117920982972692,1,nrep
64,f,22,0.008978631664502177275077,1,nrep
64,t,243,19.084391604085167460011230,1,nrep
65,f,74,1.858058237276493395692469,1,nrep
65,t,299,20.457709941551685224459996,1,nrep
66,f,10,0.000998405638653550381194,1,nrep
66,t,106,0.504752055819476762218986,1,nrep
67,f,13,0.049486873113785489578110,1,nrep
67,t,64,0.004147656929756067765594,1,nrep
68,f,187,15.255107133733457306540957,1,nrep
68,t,1063,268.272950001960006887197483,1,nrep
69,f,16,0.002120334406574098822059,1,nrep
69,t,109,1.490667480762024091254349,1,nrep
70,f,82,9.466635415817355945113327,1,nrep
70,t,200,3.374718695152150867897702,1,nrep
71,f,27,0.096299866610460083034780,1,nrep
71,t,393,73.591007284266828775041878,1,nrep
72,f,33,2.109424446921474480164540,1,nrep
72,t,156,11.436976489506813491231487,1,nrep
73,f,21,0.231812163844708527256914,1,nrep
73,t,114,0.848945348867752398676263,1,nrep
74,f,21,0.038793127026513014212925,1,nrep
74,t,201,11.076116975362912457771890,1,nrep
75,f,28,0.074615474254633380991741,1,nrep
75,t,310,44.759868111159550744042901,1,nrep
76,f,76,4.230455944414679644886506,1,nrep
76,t,170,2.324264419799360005120952,1,nrep
77,f,53,1.530633537371603502343824,1,nrep
77,t,233,16.880764934632060435611426,1,nrep
78,f,16,0.002286955844306904902857,1,nrep
78,t,70,0.725926129803975562917916,1,nrep
79,f,21,0.017767207356509490455553,1,nrep
79,t,298,59.630576058383408699978099,1,nrep
80,f,32,1.672229898560998516552594,1,nrep
80,t,337,24.713568430424615841941222,1,nrep
81,f,31,0.101447689490993946379627,1,nrep
81,t,234,25.610199935249678013666428,1,nrep
82,f,33,0.081770349269035538694066,1,nrep
82,t,192,18.711110994945318985654986,1,nrep
83,f,23,0.102880272221254347289637,1,nrep
83,t,140,3.674203509356699515788454,1,nrep
84,f,7,0.05088567818889246529,1,nrep
84,t,147,23.111771436435875169571608,1,nrep
85,f,35,2.301295065798078023022398,1,nrep
85,t,179,11.322910830719715225618936,1,nrep
86,f,28,0.062170651966696626589983,1,nrep
86,t,331,36.489757733643576672388608,1,nrep
87,f,28,0.785360505585438617806591,1,nrep
87,t,221,5.531555232805138829349298,1,nrep
88,f,21,3.434419292916476120786904,1,nrep
88,t,118,2.346617392400907957984151,1,nrep
89,f,22,0.002501469177205275004000,1,nrep
89,t,106,0.007696903796199197876643,1,nrep
90,f,68,4.702053211678919264467000,1,nrep
90,t,840,120.277453259155380279543448,1,nrep
91,f,4,0.000428587570880134670032,1,nrep
91,t,31,0.002102134436436964568517,1,nrep
92,f,21,0.003191084796636446245766,1,nrep
