Whole cell application	Thermophile	Action	Reference
Biofuel production	Caldicellulosiruptor bescii	Xylan degrading activity	Han et al. (2012); Su et al. (2013)
Biofuel production	Caldanaerobius polysaccharolyticus	Xylan degrading activity	Han et al. (2012); Su et al. (2013)
Biofuel production	Thermoanaerobacterium thermosaccharolyticum	Butanol production	Bhandiwad et al. (2013)
Biofuel production	Caldicellulosiruptor saccharolyticus	Consolidated bioprocess for anaerobic hydrogen production	Talluri et al. (2013)
Biofuel production	Methanoculleus thermophiles	Methane production from coal mine substrates	Lavania et al. (2014)
Bioremediation	Geobacillus sp.	Biosorption of toxic metals	Chatterjee et al. (2010); Sar et al. (2013)
Bioremediation	Anoxybacillus flavithermus	Biosorption of toxic metals	Chatterjee et al. (2010); Sar et al. (2013)
Bioremediation	Thermus thermophiles	Biosorption of toxic metals	Chatterjee et al. (2010); Sar et al. (2013)
Bioremediation	Thermococcus zilligii	Biosorption of toxic metals	Chatterjee et al. (2010); Sar et al. (2013)
Bioremediation	Thermus scotoductus	Immobilisation of radionuclides	Chernyh et al. (2007)
Bioremediation	Pyrobaculum. islandicum	Immobilisation of radionuclides	Chernyh et al. (2007)
Bioremediation	Thermoanaerobacter sp.	Immobilisation of radionuclides	Chernyh et al. (2007)
Bioremediation	Thermoterrabacterium ferrireducens	Immobilisation of radionuclides	Chernyh et al. (2007)
Bioremediation	Aeribacillus sp.	Biodegradation of recalcitrant aromatic compounds and hydrocarbons	Mnif et al. (2014)
Bioremediation	Geobacillus sp.	Biodegradation of recalcitrant aromatic compounds and hydrocarbons	Mnif et al. (2014)
Bioremediation	Anoxybacillus sp.	Degradation of azo-dyes	Deive et al. (2010)
Bioleaching	Sulfobacillus sp.	Enhanced Cu extraction from chalcopyrite	Abdollahi et al. (2014); d'Hugues et al. (2002); Qin et al. (2013)
Bioleaching	Ferroplasma sp.	Enhanced Cu extraction from chalcopyrite	Abdollahi et al. (2014); d'Hugues et al. (2002); Qin et al. (2013)
Bioleaching	Acidianus infernus	Enhanced Cu extraction from chalcopyrite	Abdollahi et al. (2014); d'Hugues et al. (2002); Qin et al. (2013)
Bioleaching	Acidianus brierleyi	Metal solubilisation from nickel-copper sulphide	Li et al. (2014)
Bioleaching	Acidianus manzaensis	Metal solubilisation from nickel-copper sulphide	Li et al. (2014)
Bioleaching	Metallosphaera sedula	Metal solubilisation from nickel-copper sulphide	Li et al. (2014)
Bioleaching	Sulfolobus metallicus	Metal solubilisation from nickel-copper sulphide	Li et al. (2014)
Food, animal feed, compost for agriculture, cultivation production	Clostridium sp.	Improved compost quality by cellulolytic activity	Basen et al. (2014); Han et al. (2012); Sizova et al. (2011)
Food, animal feed, compost for agriculture, cultivation production	Caldicellulosiruptor sp.	Improved compost quality by cellulolytic activity	Basen et al. (2014); Han et al. (2012); Sizova et al. (2011)
