accession	tempOptimMin	tempOptimMax	tempMin	tempMax
A0A087D2Y1	37.0	37.0	25.0	55.0
B9V405	52.0	52.0	20.0	70.0
C7CXJ5	50.0	50.0	25.0	65.0
G0YYC2	50.0	50.0	45.0	55.0
G0YYC2	50.0	50.0	45.0	55.0
A0A1V0FWZ3	55.0	55.0	37.0	65.0
A0A1V0FWZ3	55.0	55.0	20.0	95.0
J7H3P9	41.0	41.0	20.0	55.0
H8XA83	40.0	40.0	30.0	55.0
A0A2U6TC85	37.0	37.0	27.0	40.0
A6P7M9	50.0	55.0	30.0	60.0
O58049	95.0	95.0	55.0	100.0
O29985	80.0	80.0	60.0	90.0
O29852	80.0	80.0	22.0	90.0
O29794	80.0	80.0	60.0	90.0
O29852	55.0	55.0	22.0	90.0
O66266	45.0	45.0	30.0	50.0
K0J3J2	50.0	50.0	20.0	70.0
Q3SAG3	40.0	40.0	30.0	70.0
F1CGX0	45.0	45.0	35.0	55.0
B2DD57	50.0	50.0	25.0	60.0
A0A089N0W4	50.0	50.0	30.0	60.0
C0LIF8	50.0	50.0	45.0	50.0
K4P7S0	70.0	70.0	40.0	80.0
K4P5F3	70.0	70.0	40.0	80.0
B8YJM2	65.0	70.0	25.0	90.0
Q65DN5	30.0	30.0	15.0	35.0
Q4QB75	40.0	40.0	20.0	50.0
P40912	60.0	60.0	10.0	70.0
K4GGT4	40.0	40.0	25.0	45.0
A0A1V0HSA2	30.0	30.0	10.0	60.0
T1WWB5	40.0	40.0	10.0	60.0
A0A0F7EVN0	40.0	40.0	20.0	60.0
Q4WB93	50.0	50.0	30.0	65.0
Q82M04	60.0	60.0	30.0	75.0
Q82K30	55.0	55.0	30.0	60.0
A0A0A7RRF2	55.0	60.0	30.0	70.0
G2QHR7	70.0	75.0	40.0	85.0
B3PKK9	65.0	70.0	30.0	90.0
Q9X0S8	90.0	90.0	70.0	100.0
P27169	25.0	25.0	25.0	50.0
Q31QF3	44.0	44.0	30.0	55.0
Q9WYJ4	80.0	80.0	80.0	100.0
Q9WYJ4	95.0	95.0	80.0	100.0
Q988B8	70.0	70.0	30.0	80.0
Q988B8	70.0	70.0	25.0	40.0
Q988B8	30.0	35.0	30.0	80.0
Q988B8	30.0	35.0	25.0	40.0
Q5S1V5	45.0	45.0	20.0	55.0
Q937X0	50.0	50.0	30.0	50.0
Q937X0	44.0	44.0	30.0	50.0
Q937X0	40.0	40.0	30.0	50.0
Q9RHA2	80.0	80.0	60.0	60.0
A8N2G5	60.0	60.0	70.0	70.0
A0A0P0UPC6	80.0	80.0	40.0	80.0
X4YXV3	90.0	90.0	80.0	95.0
A8CGP1	40.0	40.0	20.0	65.0
D7PC10	55.0	55.0	60.0	60.0
O85057	45.0	45.0	30.0	55.0
I6XZ73	30.0	30.0	20.0	45.0
D2IWA7	50.0	50.0	35.0	55.0
A8A9R6	37.0	37.0	37.0	37.0
A0A089FQH5	37.0	37.0	25.0	50.0
Q7SIB5	33.0	33.0	26.0	43.0
Q8U2A4	75.0	78.0	60.0	95.0
Q8U2A4	85.0	85.0	60.0	95.0
Q04789	50.0	50.0	20.0	65.0
E0RU15	60.0	60.0	50.0	70.0
A4XGA6	75.0	75.0	10.0	90.0
A4XGA6	85.0	85.0	10.0	90.0
A4XGA6	37.0	37.0	10.0	90.0
A4XGA6	87.5	87.5	10.0	90.0
A4XGA6	50.0	50.0	10.0	90.0
A4XGA6	80.0	80.0	10.0	90.0
F8WRK9	80.0	80.0	50.0	90.0
F8WRK9	80.0	80.0	50.0	100.0
Q8A2I1	37.0	37.0	25.0	40.0
Q05GU1	15.0	15.0	4.0	50.0
Q1W5Y8	60.0	60.0	25.0	80.0
Q1W5Y8	70.0	70.0	25.0	80.0
Q2WC24	37.0	40.0	25.0	50.0
Q2UPZ7	50.0	50.0	30.0	70.0
F0HXE4	60.0	60.0	30.0	80.0
F0HXE4	60.0	60.0	20.0	75.0
F0HXE4	60.0	60.0	20.0	75.0
O26153	37.0	37.0	55.0	75.0
Q9HLX1	37.0	37.0	55.0	75.0
O26153	70.0	70.0	55.0	75.0
Q9HLX1	70.0	70.0	55.0	75.0
A0A0E3JDD8	25.0	25.0	10.0	45.0
P05081	50.0	60.0	30.0	60.0
P43411	30.0	30.0	25.0	60.0
P43411	45.0	45.0	25.0	60.0
Q8GGL2	80.0	80.0	30.0	80.0
P43411	37.0	37.0	25.0	60.0
P43411	53.0	53.0	25.0	60.0
P43409	75.0	75.0	60.0	90.0
P43409	83.0	83.0	60.0	90.0
P43409	72.0	72.0	60.0	90.0
P43409	80.0	90.0	60.0	90.0
D7VBA0	50.0	50.0	20.0	50.0
Q9X0Z7	70.0	70.0	35.0	90.0
P50251	95.0	95.0	75.0	105.0
O51933	75.0	75.0	60.0	85.0
P23526	41.0	41.0	25.0	49.0
P50251	80.0	80.0	75.0	105.0
O51933	85.0	85.0	60.0	85.0
O51933	100.0	100.0	60.0	85.0
C7DT60	30.0	30.0	10.0	42.0
B9UNL6	30.0	30.0	20.0	50.0
X4QKX0	35.0	35.0	25.0	45.0
A0A0R2GUC5	35.0	35.0	30.0	40.0
B9UNL6	35.0	35.0	20.0	50.0
Q8YZ70	45.0	45.0	30.0	55.0
Q8YZ70	37.0	37.0	30.0	55.0
Q8YZ70	40.0	40.0	30.0	55.0
P30632	37.0	37.0	25.0	37.0
Q0GYS2	37.0	37.0	30.0	70.0
F6IQ86	60.0	60.0	10.0	80.0
F6IQ86	60.0	60.0	10.0	80.0
F6IQ86	60.0	60.0	10.0	80.0
I3VE77	30.0	30.0	25.0	35.0
I3VE74	30.0	30.0	25.0	35.0
D5WTR7	55.0	55.0	75.0	75.0
D5WTR7	55.0	55.0	30.0	30.0
D5WTR8	55.0	55.0	75.0	75.0
D5WTR8	55.0	55.0	30.0	30.0
A0A3G5E8S8	70.0	70.0	30.0	80.0
C7FLN0	70.0	70.0	32.0	74.0
Q9YDC0	80.0	80.0	80.0	99.0
Q8U2I1	120.0	120.0	75.0	133.0
A3F8V1	30.0	35.0	15.0	50.0
Q9YDC0	99.0	99.0	80.0	99.0
Q9YDC0	100.0	100.0	80.0	99.0
Q21GC8	40.0	40.0	20.0	60.0
P31658	37.0	37.0	10.0	50.0
Q99497	30.0	30.0	55.0	95.0
P45470	22.0	22.0	55.0	95.0
P31658	35.0	40.0	10.0	50.0
G0RV93	30.0	30.0	40.0	60.0
G2QJR6	50.0	50.0	60.0	70.0
G2QJR6	50.0	50.0	30.0	70.0
G0RV93	40.0	60.0	40.0	60.0
G0RV93	25.0	25.0	40.0	60.0
Q4WL89	40.0	40.0	30.0	65.0
Q4WL89	40.0	40.0	30.0	70.0
G2RCM8	55.0	55.0	42.0	60.0
G2QJR6	55.0	55.0	60.0	70.0
G2QJR6	55.0	55.0	30.0	70.0
G2QJR6	45.0	45.0	60.0	70.0
G2QJR6	45.0	45.0	30.0	70.0
G2R8B5	45.0	45.0	30.0	60.0
O58231	45.0	45.0	45.0	100.0
Q703V9	90.0	90.0	50.0	90.0
Q96YZ3	90.0	90.0	70.0	100.0
Q9X1S1	90.0	90.0	37.0	90.0
Q9HKZ0	55.0	55.0	20.0	85.0
Q9HKZ0	70.0	70.0	20.0	85.0
P17118	90.0	90.0	60.0	100.0
Q97WS1	70.0	70.0	70.0	90.0
Q00496	37.0	37.0	37.0	50.0
P10844	37.0	37.0	37.0	50.0
Q9X1N5	65.0	65.0	50.0	67.0
P9WK19	55.0	55.0	65.0	65.0
P9WK19	37.0	37.0	65.0	65.0
P9WK21	37.0	37.0	65.0	65.0
Q9WYR9	90.0	90.0	70.0	95.0
P52208	32.0	32.0	25.0	45.0
Q09IZ4	40.0	40.0	30.0	70.0
Q09IZ4	40.0	40.0	10.0	45.0
F2X2G0	40.0	40.0	50.0	55.0
Q09IZ4	60.0	60.0	30.0	70.0
Q09IZ4	60.0	60.0	10.0	45.0
Q75P26	45.0	45.0	35.0	55.0
Q09IZ4	50.0	50.0	30.0	70.0
Q09IZ4	50.0	50.0	10.0	45.0
H2ESB9	30.0	35.0	10.0	45.0
A0LR95	70.0	70.0	50.0	80.0
A0LR95	70.0	70.0	40.0	85.0
Q973H5	70.0	70.0	60.0	80.0
Q973H4	70.0	70.0	60.0	80.0
P95867	85.0	85.0	45.0	85.0
P95867	60.0	60.0	45.0	85.0
P73906	28.0	30.0	28.0	42.0
Q6KZ98	50.0	50.0	30.0	70.0
Q6KZ98	50.0	50.0	40.0	60.0
A0A345GNZ1	40.0	40.0	30.0	50.0
A7LI67	75.0	75.0	30.0	90.0
Q9WZ17	70.0	70.0	50.0	80.0
Q9WZ17	70.0	70.0	50.0	85.0
P19582	35.0	40.0	25.0	50.0
A0A0H0ZQK0	45.0	50.0	15.0	55.0
Q8RR74	55.0	55.0	30.0	65.0
D3JC16	40.0	40.0	30.0	55.0
D3JC16	45.0	45.0	30.0	55.0
D3JC16	25.0	25.0	30.0	55.0
Q9WZ17	70.0	70.0	50.0	80.0
Q9WZ17	70.0	70.0	50.0	85.0
Q5JIY7	80.0	80.0	70.0	90.0
Q66CJ2	60.0	60.0	57.0	73.0
W0G253	45.0	45.0	30.0	65.0
Q5JHT1	90.0	90.0	70.0	100.0
J9H7D1	37.0	37.0	37.0	50.0
W0KM71	37.0	37.0	20.0	75.0
C5A6Q4	85.0	85.0	70.0	95.0
Q9RFN5	50.0	50.0	30.0	60.0
O73944	90.0	90.0	75.0	105.0
O07883	70.0	70.0	50.0	80.0
P18956	37.0	37.0	20.0	50.0
A0A0B6VSN3	70.0	70.0	30.0	80.0
A9YTT0	70.0	70.0	40.0	80.0
Q4KIM5	50.0	50.0	30.0	60.0
Q4KIM5	50.0	50.0	30.0	60.0
Q6R2X1	50.0	50.0	30.0	75.0
A0A1S5V3K5	60.0	60.0	30.0	70.0
A9YTT0	60.0	60.0	40.0	80.0
Q8NRT7	45.0	45.0	22.0	60.0
A0A5C8IYM0	40.0	40.0	20.0	70.0
Q65KZ6	40.0	40.0	30.0	50.0
Q6KZT2	55.0	55.0	40.0	60.0
A9YTT0	37.0	60.0	40.0	80.0
P18394	15.0	15.0	15.0	30.0
Q5DWP2	50.0	50.0	30.0	65.0
G1EH67	50.0	50.0	20.0	80.0
Q75WP3	40.0	40.0	30.0	50.0
Q21FJ0	40.0	40.0	20.0	70.0
Q21FJ0	40.0	40.0	20.0	70.0
Q53EJ1	40.0	40.0	30.0	45.0
B2LME8	30.0	30.0	5.0	5.0
Q21FJ0	30.0	30.0	20.0	70.0
Q21FJ0	30.0	30.0	20.0	70.0
G0L2Y1	30.0	30.0	10.0	45.0
Q75WP3	37.0	37.0	30.0	50.0
Q597B8	37.0	37.0	25.0	45.0
R9UHL6	35.0	35.0	20.0	50.0
Q9WYD4	95.0	95.0	95.0	120.0
Q9WYD4	95.0	95.0	90.0	120.0
Q9WYD4	90.0	100.0	95.0	120.0
Q9WYD4	90.0	100.0	90.0	120.0
B1NF19	30.0	30.0	30.0	35.0
B1NF19	30.0	30.0	30.0	35.0
B1NF19	30.0	30.0	30.0	35.0
A0A545BBR2	70.0	70.0	55.0	75.0
A0A545BBR2	70.0	70.0	65.0	75.0
Q99PX1	45.0	45.0	30.0	50.0
O58235	80.0	80.0	30.0	90.0
O58235	25.0	25.0	30.0	90.0
Q6F4N1	70.0	70.0	37.0	100.0
Q6F4N1	70.0	70.0	37.0	100.0
Q6F4N1	75.0	75.0	37.0	100.0
Q6F4N1	75.0	75.0	37.0	100.0
O58235	37.0	37.0	30.0	90.0
Q65GW7	50.0	50.0	50.0	70.0
A0A0H3M8A2	37.0	37.0	30.0	55.0
F7YTI3	95.0	95.0	75.0	100.0
F7YTI3	95.0	95.0	75.0	100.0
Q5RLG0	70.0	80.0	30.0	90.0
Q8VWZ6	30.0	30.0	10.0	75.0
Q5UY95	50.0	50.0	25.0	50.0
Q5UY95	37.0	37.0	25.0	50.0
Q57936	55.0	55.0	55.0	85.0
S7ZRR2	50.0	50.0	30.0	60.0
B1P195	45.0	45.0	40.0	50.0
D3VYD8	45.0	45.0	43.0	52.0
W0BU85	40.0	40.0	20.0	45.0
V5J3M5	40.0	40.0	30.0	50.0
Q9FLG1	60.0	60.0	20.0	70.0
A0A0H3W535	70.0	70.0	50.0	70.0
Q97UI4	90.0	90.0	70.0	90.0
Q97UI4	90.0	90.0	65.0	100.0
Q9FGY1	55.0	55.0	20.0	70.0
A0A399G7U0	55.0	55.0	15.0	60.0
Q97UI4	75.0	75.0	70.0	90.0
Q97UI4	75.0	75.0	65.0	100.0
A0A2U9Q8M3	30.0	30.0	30.0	50.0
Q97UI4	85.0	85.0	70.0	90.0
Q97UI4	85.0	85.0	65.0	100.0
Q81IH1	52.0	52.0	37.0	65.0
Q06AK7	37.0	40.0	37.0	70.0
Q888H1	25.0	25.0	15.0	50.0
Q888H1	35.0	35.0	15.0	50.0
D6Y7Y8	60.0	60.0	50.0	65.0
Q7CRQ0	60.0	60.0	15.0	60.0
A0A0H3WG62	40.0	40.0	30.0	70.0
Q9X229	80.0	80.0	60.0	90.0
A0A0K0M968	50.0	50.0	30.0	60.0
P0C5B4	40.0	40.0	20.0	60.0
Q56S04	60.0	60.0	20.0	80.0
D3EKC0	45.0	45.0	10.0	60.0
Q81SV8	22.0	22.0	10.0	95.0
A5IL43	90.0	90.0	75.0	98.0
A5IL43	90.0	90.0	60.0	95.0
F7YVT1	90.0	90.0	65.0	100.0
H5U8W4	30.0	30.0	15.0	50.0
H5U8W4	30.0	30.0	15.0	50.0
Q02724	30.0	30.0	4.0	37.0
Q02724	22.0	37.0	4.0	37.0
O29853	60.0	60.0	25.0	95.0
O29853	90.0	90.0	25.0	95.0
P50455	95.0	95.0	25.0	95.0
P50455	98.0	98.0	25.0	95.0
P50455	97.0	97.0	25.0	95.0
P50455	99.0	99.0	25.0	95.0
P50455	96.0	96.0	25.0	95.0
A0A0A7W604	57.0	57.0	37.0	60.0
Q5JGC2	70.0	70.0	50.0	110.0
Q5JGC2	90.0	90.0	50.0	110.0
P76558	46.0	46.0	25.0	55.0
B9DIJ2	60.0	60.0	20.0	80.0
B9DIJ2	50.0	50.0	20.0	80.0
A0A223AMX9	30.0	30.0	20.0	80.0
B3V4Z0	37.0	37.0	22.0	70.0
L0AQH5	40.0	40.0	20.0	60.0
Q8PI23	40.0	40.0	20.0	50.0
A2QIR3	40.0	40.0	20.0	50.0
Q0KKP0	40.0	40.0	10.0	60.0
C7F6Y1	30.0	30.0	5.0	80.0
Q2UII1	30.0	35.0	15.0	45.0
A0A0G3ZA16	20.0	20.0	10.0	50.0
Q9L8L8	70.0	70.0	40.0	100.0
Q9L8L8	70.0	70.0	40.0	85.0
A0LR95	70.0	70.0	50.0	80.0
A0LR95	70.0	70.0	40.0	85.0
C3VEV9	70.0	70.0	65.0	75.0
E1APH5	70.0	70.0	40.0	80.0
Q2PGY1	55.0	55.0	40.0	60.0
C6ZHB0	55.0	55.0	35.0	75.0
D3VWB5	55.0	55.0	40.0	65.0
G0S9G3	55.0	55.0	40.0	80.0
G0S9G3	55.0	55.0	30.0	90.0
G0S9G3	55.0	55.0	40.0	80.0
G0S9G3	55.0	55.0	30.0	90.0
A0A2U9Q8K4	55.0	55.0	30.0	70.0
B9VSZ3	55.0	55.0	10.0	90.0
H9ZGD1	55.0	55.0	70.0	70.0
B8XY24	55.0	55.0	30.0	70.0
B8NJ86	55.0	55.0	40.0	63.0
A0A3T0YV60	55.0	55.0	30.0	65.0
G0S9G3	55.0	55.0	40.0	80.0
G0S9G3	55.0	55.0	30.0	90.0
G0S9G3	55.0	55.0	40.0	80.0
G0S9G3	55.0	55.0	30.0	90.0
D1KJJ7	55.0	55.0	20.0	70.0
Q3S401	50.0	50.0	20.0	70.0
A0A346PXS9	50.0	50.0	20.0	60.0
A0A3T0YV67	50.0	50.0	30.0	55.0
B6VF01	50.0	50.0	20.0	80.0
B2CNY5	50.0	50.0	30.0	70.0
A1XM14	50.0	50.0	30.0	70.0
A1XM14	50.0	50.0	30.0	70.0
A0A127JBT0	50.0	50.0	30.0	60.0
E2DQY5	65.0	65.0	35.0	75.0
Q47QL8	80.0	80.0	60.0	80.0
Q8RJN8	25.0	25.0	5.0	35.0
Q9L8L8	90.0	90.0	40.0	100.0
Q9L8L8	90.0	90.0	40.0	85.0
A5IL00	90.0	90.0	70.0	100.0
Q97YG7	90.0	90.0	80.0	95.0
Q97YG7	90.0	90.0	60.0	110.0
Q97YG7	90.0	90.0	80.0	110.0
Q97YG7	90.0	90.0	75.0	100.0
Q97YG7	90.0	90.0	99.0	99.0
Q97YG7	90.0	90.0	70.0	70.0
A5IL00	95.0	95.0	70.0	100.0
A3DJS9	75.0	75.0	40.0	70.0
Q6UN40	37.0	37.0	30.0	50.0
Q45VU2	60.0	60.0	40.0	60.0
A0A172MAU1	60.0	60.0	30.0	70.0
Q8CJQ1	60.0	60.0	50.0	50.0
Q9X584	60.0	60.0	20.0	80.0
A0A2H4RAC5	60.0	60.0	40.0	90.0
Q9RMM4	60.0	60.0	30.0	70.0
B2CNY5	60.0	60.0	30.0	70.0
Q2I6W5	60.0	60.0	40.0	80.0
D6MYS9	60.0	60.0	20.0	80.0
P18429	40.0	40.0	30.0	55.0
F0S6Y3	40.0	40.0	10.0	55.0
A0A3G9FT71	40.0	40.0	30.0	50.0
D8L2Y2	45.0	45.0	10.0	65.0
A0A0S2I9J6	45.0	45.0	30.0	50.0
D0QF43	85.0	85.0	35.0	100.0
A8BWM5	37.0	42.5	49.3	49.3
J9SJ08	45.0	45.0	40.0	55.0
J9SJ08	45.0	45.0	40.0	55.0
F9VPH0	95.0	95.0	75.0	110.0
Q4J9M3	95.0	100.0	80.0	110.0
A0A1S6JYL1	30.0	40.0	30.0	50.0
A2QJF7	55.0	55.0	30.0	60.0
Q745T6	90.0	90.0	30.0	100.0
O33830	90.0	90.0	65.0	100.0
A4WMH3	90.0	90.0	80.0	80.0
A2QJF7	60.0	60.0	30.0	60.0
Q9HLD0	80.0	80.0	60.0	90.0
F9VPH0	80.0	80.0	75.0	110.0
C4LSS0	55.0	55.0	4.0	70.0
A0A145YEM9	40.0	60.0	25.0	65.0
A0A0M4MCX5	37.0	37.0	30.0	45.0
P39138	45.0	45.0	30.0	65.0
A4IJM8	80.0	80.0	40.0	90.0
A8NS89	37.0	37.0	25.0	60.0
A8NS89	22.0	22.0	25.0	60.0
E9NR87	30.0	30.0	4.0	30.0
Q7WUI6	70.0	70.0	40.0	90.0
B6E8Y7	40.0	50.0	20.0	70.0
A0A067YIW8	50.0	50.0	60.0	60.0
A0A067YIW8	55.0	55.0	60.0	60.0
A4PF00	37.0	37.0	10.0	70.0
H2EUL5	37.0	37.0	30.0	30.0
Q45071	45.0	45.0	30.0	50.0
Q841V6	45.0	45.0	20.0	70.0
A4XJR8	85.0	85.0	40.0	90.0
F7YTI3	95.0	95.0	75.0	100.0
F7YTI3	95.0	95.0	75.0	100.0
A0A075EDT8	60.0	60.0	35.0	75.0
Q2MJP5	60.0	60.0	45.0	75.0
A4XJR8	80.0	80.0	40.0	90.0
Q6RKQ1	55.0	55.0	45.0	60.0
A5IKD0	70.0	70.0	50.0	90.0
Q9XBQ3	40.0	40.0	40.0	70.0
G0TES6	40.0	40.0	20.0	70.0
B5MGR2	40.0	40.0	20.0	60.0
K7QK60	65.0	65.0	40.0	85.0
B6ZGN5	50.0	50.0	30.0	60.0
A0A2Z5VL17	50.0	50.0	30.0	60.0
B9WZX2	15.0	15.0	10.0	40.0
Q9V011	60.0	60.0	42.0	60.0
Q5NT93	60.0	60.0	40.0	70.0
P21170	50.0	50.0	30.0	70.0
O25176	50.0	50.0	25.0	65.0
E8MF13	55.0	55.0	30.0	60.0
E8MF13	30.0	30.0	30.0	60.0
O95237	22.0	22.0	35.0	35.0
O95237	20.0	25.0	35.0	35.0
Q9HK01	50.0	50.0	30.0	70.0
Q9HK01	50.0	55.0	30.0	70.0
Q9HK01	63.0	63.0	30.0	70.0
Q9HK01	58.0	58.0	30.0	70.0
A5IL44	91.0	91.0	78.0	78.0
A5IL44	91.0	91.0	95.0	95.0
O73951	90.0	90.0	80.0	115.0
O73951	100.0	105.0	80.0	115.0
A0A0P0UPC6	80.0	80.0	40.0	80.0
O73951	80.0	80.0	80.0	115.0
A8N2G5	60.0	60.0	70.0	70.0
C6L684	50.0	50.0	40.0	70.0
A0A1W6AKT2	70.0	70.0	35.0	55.0
A0A1W6AKT2	70.0	70.0	35.0	70.0
A0A1W6AKT2	70.0	70.0	35.0	55.0
Q9WXN1	70.0	70.0	40.0	90.0
D2E4A5	60.0	60.0	20.0	70.0
Q3IFA2	30.0	30.0	10.0	30.0
Q8NLN1	35.0	35.0	20.0	50.0
Q3LGA9	70.0	75.0	60.0	80.0
Q6F494	80.0	80.0	50.0	90.0
Q9YEA1	95.0	95.0	50.0	95.0
A0A1B1W6Z7	37.0	37.0	20.0	75.0
A0A1B1W6Z7	37.0	37.0	20.0	75.0
P08594	40.0	40.0	30.0	90.0
Q9AKS9	45.0	45.0	35.0	70.0
F8A9V0	70.0	70.0	30.0	100.0
P10537	25.0	25.0	30.0	60.0
P10537	40.0	40.0	30.0	60.0
I3ZTN9	98.0	98.0	60.0	95.0
I3ZTN9	98.0	98.0	80.0	98.0
I3ZTN9	98.0	98.0	60.0	95.0
I3ZTN9	98.0	98.0	80.0	98.0
I3ZTN9	85.0	85.0	60.0	95.0
I3ZTN9	85.0	85.0	80.0	98.0
I3ZTN9	85.0	85.0	60.0	95.0
I3ZTN9	85.0	85.0	80.0	98.0
P32947	37.0	37.0	10.0	90.0
Q9P8F7	37.0	37.0	25.0	45.0
Q2TPV1	37.0	37.0	25.0	65.0
Q0MVP2	37.0	37.0	20.0	80.0
Q9P8F7	40.0	40.0	25.0	45.0
P00591	40.0	40.0	40.0	60.0
Q0JRM8	40.0	40.0	30.0	60.0
Q0JRM8	40.0	40.0	30.0	70.0
Q3IF07	40.0	40.0	5.0	50.0
P00591	45.0	45.0	40.0	60.0
Q9L6D3	55.0	55.0	45.0	65.0
Q9F0Q9	42.0	42.0	28.0	35.0
Q8TZJ1	66.0	66.0	40.0	80.0
Q8TZJ1	66.0	66.0	50.0	80.0
Q8TZJ1	66.0	66.0	66.0	90.0
A0EJ12	70.0	70.0	30.0	85.0
Q4JL88	70.0	70.0	30.0	85.0
Q8U3I6	70.0	70.0	30.0	80.0
Q670W0	20.0	20.0	5.0	50.0
O28511	90.0	90.0	40.0	95.0
O28511	90.0	90.0	40.0	90.0
O28511	90.0	90.0	30.0	90.0
Q3YJM9	35.0	35.0	5.0	40.0
Q9KJG6	35.0	35.0	30.0	50.0
A7UM95	35.0	35.0	25.0	45.0
O28511	60.0	60.0	40.0	95.0
O28511	60.0	60.0	40.0	90.0
O28511	60.0	60.0	30.0	90.0
Q47RJ7	60.0	60.0	20.0	70.0
Q0JRM8	60.0	60.0	30.0	60.0
Q0JRM8	60.0	60.0	30.0	70.0
Q47RJ6	60.0	60.0	20.0	70.0
Q9EV86	29.0	29.0	10.0	50.0
A0A173MZJ8	35.0	35.0	40.0	40.0
A0A173MZJ8	35.0	35.0	30.0	30.0
A0A482F152	40.0	40.0	30.0	47.0
G3XCJ9	45.0	45.0	35.0	50.0
A0A0H3FYM1	45.0	45.0	50.0	60.0
A0A059Q746	25.0	25.0	10.0	30.0
S5UGW5	55.0	55.0	40.0	60.0
A0A0S3TVE8	35.0	35.0	10.0	55.0
Q1IZQ3	34.0	34.0	30.0	40.0
Q9RTB7	34.0	34.0	30.0	40.0
Q71RI9	60.0	60.0	40.0	70.0
Q71RI9	50.0	60.0	40.0	70.0
B1B6U5	30.0	30.0	16.0	55.0
A0A090IMH4	30.0	30.0	5.0	50.0
O08349	70.0	70.0	50.0	85.0
Q334I5	40.0	40.0	25.0	45.0
Q58178	60.0	60.0	35.0	80.0
Q58178	60.0	60.0	35.0	80.0
K5BJH8	45.0	45.0	30.0	50.0
A0A6G3T2F2	40.0	40.0	20.0	50.0
A0A2A9FGJ5	25.0	25.0	25.0	60.0
Q9S227	30.0	35.0	20.0	55.0
B2G3S1	70.0	70.0	50.0	70.0
Q5JGP4	75.0	75.0	70.0	80.0
E1XUJ2	37.0	37.0	28.0	40.0
E1XUJ2	35.0	35.0	28.0	40.0
E1XUJ2	22.0	22.0	28.0	40.0
Q7PC53	37.0	37.0	30.0	30.0
P39358	30.0	30.0	20.0	42.0
Q9LAG2	55.0	55.0	30.0	65.0
A0A1W6DZL1	55.0	55.0	45.0	60.0
W5R5D2	55.0	55.0	40.0	60.0
B5LX62	50.0	50.0	40.0	40.0
A2R6F5	45.0	55.0	10.0	80.0
P77847	60.0	65.0	40.0	70.0
A5IMX7	81.0	93.0	40.0	100.0
D0UH99	70.0	70.0	40.0	80.0
A0A0N9LQI1	70.0	70.0	70.0	80.0
C6KL35	60.0	60.0	35.0	65.0
C6KL35	60.0	60.0	70.0	70.0
A0A3B6UEQ6	60.0	60.0	40.0	80.0
A0A0K2S4R5	60.0	60.0	30.0	80.0
A0A171	70.0	70.0	37.0	70.0
A3MTU1	85.0	85.0	40.0	100.0
Q72LF3	60.0	60.0	50.0	70.0
Q72LF3	70.0	70.0	50.0	70.0
Q564G3	43.0	43.0	27.0	47.0
Q50L36	40.0	40.0	25.0	50.0
Q9SU79	37.0	42.0	25.0	50.0
Q9SU79	37.0	42.0	25.0	50.0
A0A0H2UN41	33.0	33.0	5.0	55.0
O29876	60.0	60.0	40.0	80.0
P27695	25.0	25.0	30.0	42.0
P27695	23.0	23.0	30.0	42.0
P27695	30.0	30.0	30.0	42.0
O29876	50.0	50.0	40.0	80.0
P27695	37.0	37.0	30.0	42.0
P96273	37.0	37.0	30.0	42.0
P96273	37.0	37.0	30.0	42.0
A7L6C9	40.0	40.0	23.0	50.0
A0A2C9EVE6	30.0	30.0	16.0	42.0
A0A133Q8U5	37.0	37.0	20.0	50.0
A0A133Q8U5	37.0	37.0	20.0	50.0
O08367	90.0	90.0	40.0	110.0
P10746	37.0	37.0	37.0	52.0
Q97VU2	85.0	85.0	60.0	75.0
Q97VU2	85.0	85.0	70.0	90.0
A0A1S5T4Z0	45.0	45.0	30.0	30.0
H6BDX1	40.0	40.0	35.0	35.0
Q975F9	80.0	80.0	70.0	100.0
Q975F9	80.0	80.0	70.0	100.0
D7UTZ8	50.0	50.0	40.0	55.0
Q9I1X3	30.0	30.0	15.0	45.0
Q9I1X3	30.0	30.0	15.0	45.0
Q8KZM4	45.0	45.0	10.0	30.0
E5RQ20	75.0	75.0	25.0	80.0
B1B1U3	38.0	38.0	32.0	44.0
Q6DNI8	25.0	35.0	15.0	50.0
Q50LH1	20.0	20.0	20.0	30.0
Q49SB0	15.0	15.0	4.0	75.0
Q93WY5	35.0	40.0	25.0	65.0
Q93WY5	40.0	40.0	25.0	65.0
Q49SB0	25.0	25.0	4.0	75.0
Q96V00	37.0	37.0	23.0	42.0
P79074	60.0	60.0	40.0	80.0
A0A1B1MQM8	55.0	55.0	40.0	60.0
A0A1B1MQM8	55.0	55.0	40.0	80.0
Q6TA03	55.0	55.0	45.0	60.0
A0A1B1MQM8	60.0	70.0	40.0	60.0
A0A1B1MQM8	60.0	70.0	40.0	80.0
F5B9B9	45.0	45.0	25.0	45.0
S5MK25	45.0	45.0	10.0	80.0
P47180	45.0	45.0	25.0	45.0
A0A0B4UL66	50.0	50.0	30.0	60.0
A0A221LFZ6	70.0	70.0	50.0	80.0
A0A2R4K332	70.0	70.0	60.0	80.0
Q8U263	60.0	60.0	60.0	100.0
Q8U263	60.0	60.0	70.0	80.0
Q8U263	75.0	75.0	60.0	100.0
Q8U263	75.0	75.0	70.0	80.0
Q8U263	90.0	90.0	60.0	100.0
Q8U263	90.0	90.0	70.0	80.0
