accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
A0A286R847	35.0	40.0			PH/158/1588-0/AF-A0A286R847-F1-model_v3.json.gz
B6E9W1	37.0	37.0			PH/158/158836-5/AF-B6E9W1-F1-model_v3.json.gz
A0A0H3JPH0	37.0	37.0			PH/158/158878-0/AF-A0A0H3JPH0-F1-model_v3.json.gz
A0A0H3JT80	22.0	22.0			PH/158/158878-0/AF-A0A0H3JT80-F1-model_v3.json.gz
P0A016	25.0	25.0			PH/158/158878-0/AF-P0A016-F1-model_v3.json.gz
P63479	30.0	30.0			PH/158/158878-0/AF-P63479-F1-model_v3.json.gz
A0A0H3JLD7	37.0	37.0			PH/158/158879-0/AF-A0A0H3JLD7-F1-model_v3.json.gz
A0A0H3JPX6	50.0	50.0	20.0	80.0	PH/158/158879-0/AF-A0A0H3JPX6-F1-model_v3.json.gz
A0A0H3JPX6	30.0	30.0	20.0	80.0	PH/158/158879-0/AF-A0A0H3JPX6-F1-model_v3.json.gz
P65388	22.0	22.0			PH/158/158879-0/AF-P65388-F1-model_v3.json.gz
P99106	30.0	30.0			PH/158/158879-0/AF-P99106-F1-model_v3.json.gz
Q7A4G0	37.0	37.0			PH/158/158879-0/AF-Q7A4G0-F1-model_v3.json.gz
Q7A4T2	26.0	26.0			PH/158/158879-0/AF-Q7A4T2-F1-model_v3.json.gz
Q7A6P2	30.0	30.0	20.0	80.0	PH/158/158879-0/AF-Q7A6P2-F1-model_v3.json.gz
Q7A6P2	55.0	55.0	20.0	80.0	PH/158/158879-0/AF-Q7A6P2-F1-model_v3.json.gz
Q06803	50.0	50.0			PH/159/159-0/AF-Q06803-F1-model_v3.json.gz
Q06803	37.0	37.0			PH/159/159-0/AF-Q06803-F1-model_v3.json.gz
A2I9X8	35.0	35.0			PH/159/1590-3/AF-A2I9X8-F1-model_v3.json.gz
B3Y018	40.0	40.0			PH/159/1590-3/AF-B3Y018-F1-model_v3.json.gz
B3Y018	30.0	30.0			PH/159/1590-3/AF-B3Y018-F1-model_v3.json.gz
B9V401	37.0	37.0			PH/159/1590-3/AF-B9V401-F1-model_v3.json.gz
B9V401	37.0	37.0			PH/159/1590-3/AF-B9V401-F1-model_v3.json.gz
C0LJH4	30.0	30.0			PH/159/1590-3/AF-C0LJH4-F1-model_v3.json.gz
C4PG45	60.0	60.0	50.0	70.0	PH/159/1590-3/AF-C4PG45-F1-model_v3.json.gz
C4PG47	50.0	50.0	30.0	60.0	PH/159/1590-3/AF-C4PG47-F1-model_v3.json.gz
Q2WCS9	13.0	13.0			PH/159/1590-3/AF-Q2WCS9-F1-model_v3.json.gz
W0P1N8	37.0	37.0			PH/159/1590-3/AF-W0P1N8-F1-model_v3.json.gz
E5LLI1	37.0	37.0			PH/159/159037-0/AF-E5LLI1-F1-model_v3.json.gz
Q3SAG3	40.0	40.0	30.0	70.0	PH/159/159251-0/AF-Q3SAG3-F1-model_v3.json.gz
A0A0W1QGK2	45.0	45.0			PH/159/1592629-0/AF-A0A0W1QGK2-F1-model_v3.json.gz
D2DSG2	25.0	25.0			PH/159/159298-0/AF-D2DSG2-F1-model_v3.json.gz
G4U3G8	50.0	50.0			PH/159/159298-0/AF-G4U3G8-F1-model_v3.json.gz
A0A0M5K823	30.0	30.0			PH/159/1592982-0/AF-A0A0M5K823-F1-model_v3.json.gz
P43099	37.0	50.0			PH/159/1593-0/AF-P43099-F1-model_v3.json.gz
A0A0F7R1D9	28.0	28.0			PH/159/159449-0/AF-A0A0F7R1D9-F1-model_v3.json.gz
E9RGV6	30.0	30.0	4.0	30.0	PH/159/15957-0/AF-E9RGV6-F1-model_v3.json.gz
A0A1Y0E209	52.0	52.0			PH/159/1596-0/AF-A0A1Y0E209-F1-model_v3.json.gz
B9V405	52.0	52.0	20.0	70.0	PH/159/1596-0/AF-B9V405-F1-model_v3.json.gz
D3WYV9	55.0	55.0			PH/159/1596-0/AF-D3WYV9-F1-model_v3.json.gz
D3WYV9	45.0	45.0			PH/159/1596-0/AF-D3WYV9-F1-model_v3.json.gz
D3WYV9	35.0	35.0			PH/159/1596-0/AF-D3WYV9-F1-model_v3.json.gz
D3WYV9	25.0	25.0			PH/159/1596-0/AF-D3WYV9-F1-model_v3.json.gz
O06532	50.0	50.0			PH/159/1596-0/AF-O06532-F1-model_v3.json.gz
O06532	40.0	40.0			PH/159/1596-0/AF-O06532-F1-model_v3.json.gz
O06532	50.0	50.0			PH/159/1596-0/AF-O06532-F1-model_v3.json.gz
O06532	40.0	40.0			PH/159/1596-0/AF-O06532-F1-model_v3.json.gz
Q9AHJ8	65.0	65.0	37.0	75.0	PH/159/1596-0/AF-Q9AHJ8-F1-model_v3.json.gz
A0A0E2M090	50.0	50.0			PH/159/1597-0/AF-A0A0E2M090-F1-model_v3.json.gz
A0A5Q8BPF5	37.0	37.0			PH/159/1597-1/AF-A0A5Q8BPF5-F1-model_v3.json.gz
B1B389	50.0	50.0			PH/159/1597-2/AF-B1B389-F1-model_v3.json.gz
P17584	50.0	50.0			PH/159/1597-2/AF-P17584-F1-model_v3.json.gz
P17584	25.0	25.0			PH/159/1597-2/AF-P17584-F1-model_v3.json.gz
B5TQZ0	37.0	45.0			PH/159/1598-5/AF-B5TQZ0-F1-model_v3.json.gz
Q19R71	55.0	55.0			PH/159/1598-5/AF-Q19R71-F1-model_v3.json.gz
Q19R71	50.0	50.0			PH/159/1598-5/AF-Q19R71-F1-model_v3.json.gz
Q19R72	55.0	55.0			PH/159/1598-5/AF-Q19R72-F1-model_v3.json.gz
Q19R72	50.0	50.0			PH/159/1598-5/AF-Q19R72-F1-model_v3.json.gz
Q8GGV4	30.0	30.0			PH/159/1598-5/AF-Q8GGV4-F1-model_v3.json.gz
Q8GGV4	40.0	40.0			PH/159/1598-5/AF-Q8GGV4-F1-model_v3.json.gz
Q8GP32	55.0	55.0	20.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	55.0	55.0	40.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	55.0	55.0	22.0	55.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	37.0	37.0	20.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	37.0	37.0	40.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	37.0	37.0	22.0	55.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	60.0	60.0	20.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	60.0	60.0	40.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	60.0	60.0	22.0	55.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	50.0	50.0	20.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	50.0	50.0	40.0	60.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
Q8GP32	50.0	50.0	22.0	55.0	PH/159/1598-5/AF-Q8GP32-F1-model_v3.json.gz
A0A0D3R1A0	55.0	55.0			PH/159/1599-0/AF-A0A0D3R1A0-F1-model_v3.json.gz
A0A223K4L6	45.0	45.0	20.0	55.0	PH/159/1599-0/AF-A0A223K4L6-F1-model_v3.json.gz
A0A223K4L6	45.0	45.0	20.0	45.0	PH/159/1599-0/AF-A0A223K4L6-F1-model_v3.json.gz
A0A223K4L6	40.0	40.0	20.0	55.0	PH/159/1599-0/AF-A0A223K4L6-F1-model_v3.json.gz
A0A223K4L6	40.0	40.0	20.0	45.0	PH/159/1599-0/AF-A0A223K4L6-F1-model_v3.json.gz
A0A1C9U7K7			60.0	60.0	PH/160/1604-0/AF-A0A1C9U7K7-F1-model_v3.json.gz
Q88E47	25.0	25.0			PH/160/160488-0/AF-Q88E47-F1-model_v3.json.gz
Q88FN0	55.0	55.0			PH/160/160488-0/AF-Q88FN0-F1-model_v3.json.gz
Q88FN0	25.0	25.0			PH/160/160488-0/AF-Q88FN0-F1-model_v3.json.gz
Q88FY2	25.0	25.0			PH/160/160488-0/AF-Q88FY2-F1-model_v3.json.gz
Q88GF6	22.0	22.0			PH/160/160488-0/AF-Q88GF6-F1-model_v3.json.gz
Q88GL0	28.0	28.0			PH/160/160488-0/AF-Q88GL0-F1-model_v3.json.gz
Q88IJ7	25.0	25.0			PH/160/160488-0/AF-Q88IJ7-F1-model_v3.json.gz
Q88IJ7	22.0	22.0			PH/160/160488-0/AF-Q88IJ7-F1-model_v3.json.gz
Q88JR7	45.0	45.0			PH/160/160488-0/AF-Q88JR7-F1-model_v3.json.gz
Q88K54	30.0	30.0			PH/160/160488-0/AF-Q88K54-F1-model_v3.json.gz
Q88K85	22.0	22.0			PH/160/160488-0/AF-Q88K85-F1-model_v3.json.gz
Q88M11	45.0	45.0			PH/160/160488-0/AF-Q88M11-F1-model_v3.json.gz
Q88P48	45.0	45.0			PH/160/160488-0/AF-Q88P48-F1-model_v3.json.gz
Q88P52	37.0	37.0	20.0	45.0	PH/160/160488-0/AF-Q88P52-F1-model_v3.json.gz
Q88Q83	40.0	40.0			PH/160/160488-0/AF-Q88Q83-F1-model_v3.json.gz
Q88QT2	22.0	22.0			PH/160/160488-0/AF-Q88QT2-F1-model_v3.json.gz
Q88QV1	37.0	37.0			PH/160/160488-0/AF-Q88QV1-F1-model_v3.json.gz
Q88QV1	30.0	30.0			PH/160/160488-0/AF-Q88QV1-F1-model_v3.json.gz
Q88QV2	30.0	30.0			PH/160/160488-0/AF-Q88QV2-F1-model_v3.json.gz
Q88RQ5	25.0	25.0			PH/160/160488-0/AF-Q88RQ5-F1-model_v3.json.gz
Q88RQ5	22.0	22.0			PH/160/160488-0/AF-Q88RQ5-F1-model_v3.json.gz
Q9PCF4	37.0	37.0			PH/160/160492-0/AF-Q9PCF4-F1-model_v3.json.gz
Q9PER7	37.0	37.0			PH/160/160492-0/AF-Q9PER7-F1-model_v3.json.gz
Q9PF60	65.0	65.0	50.0	70.0	PH/160/160492-0/AF-Q9PF60-F1-model_v3.json.gz
A0A193DXA9	60.0	60.0	20.0	70.0	PH/160/1605895-0/AF-A0A193DXA9-F1-model_v3.json.gz
A0A193DXP2	60.0	60.0	20.0	70.0	PH/160/1605895-0/AF-A0A193DXP2-F1-model_v3.json.gz
A0A1S1GKD7	22.0	22.0			PH/160/1608908-0/AF-A0A1S1GKD7-F1-model_v3.json.gz
A0A1B3TNR9	22.0	22.0			PH/160/1609071-0/AF-A0A1B3TNR9-F1-model_v3.json.gz
Q93UQ5	30.0	30.0			PH/160/160971-0/AF-Q93UQ5-F1-model_v3.json.gz
A0A2K9Y5T7	25.0	25.0			PH/161/1613-0/AF-A0A2K9Y5T7-F1-model_v3.json.gz
D9ILD9	65.0	65.0	60.0	60.0	PH/161/1613-2/AF-D9ILD9-F1-model_v3.json.gz
H6WSA2	37.0	37.0			PH/161/1613-2/AF-H6WSA2-F1-model_v3.json.gz
Q6IYF5	50.0	50.0	35.0	52.0	PH/161/1613-2/AF-Q6IYF5-F1-model_v3.json.gz
D3Y5L6	55.0	55.0			PH/161/161395-0/AF-D3Y5L6-F1-model_v3.json.gz
D4HRL0	30.0	30.0			PH/161/161573-0/AF-D4HRL0-F1-model_v3.json.gz
A0A0C5CN62	60.0	70.0			PH/161/1616639-0/AF-A0A0C5CN62-F1-model_v3.json.gz
A0A0D7Q864	40.0	40.0			PH/161/1619233-0/AF-A0A0D7Q864-F1-model_v3.json.gz
Q6SJP5	45.0	45.0			PH/161/161934-0/AF-Q6SJP5-F1-model_v3.json.gz
Q6SJP5	45.0	50.0			PH/161/161934-0/AF-Q6SJP5-F1-model_v3.json.gz
Q6SJP5	50.0	50.0			PH/161/161934-0/AF-Q6SJP5-F1-model_v3.json.gz
A0A3S6IVW5	42.0	42.0	4.0	60.0	PH/162/162160-0/AF-A0A3S6IVW5-F1-model_v3.json.gz
Q8RR74	55.0	55.0	30.0	65.0	PH/162/162359-0/AF-Q8RR74-F1-model_v3.json.gz
C7AQX8	37.0	37.0			PH/162/1624-2/AF-C7AQX8-F1-model_v3.json.gz
J7H3P9	41.0	41.0	20.0	55.0	PH/162/1624-2/AF-J7H3P9-F1-model_v3.json.gz
Q078T0	37.0	37.0			PH/162/162425-0/AF-Q078T0-F1-model_v3.json.gz
Q4QZZ9	30.0	30.0			PH/162/162425-0/AF-Q4QZZ9-F1-model_v3.json.gz
Q4QZZ9	25.0	25.0			PH/162/162425-0/AF-Q4QZZ9-F1-model_v3.json.gz
Q6RET3	24.0	24.0			PH/162/162425-0/AF-Q6RET3-F1-model_v3.json.gz
Q6RET3	24.0	24.0			PH/162/162425-0/AF-Q6RET3-F1-model_v3.json.gz
Q92223	37.0	37.0			PH/162/162425-0/AF-Q92223-F1-model_v3.json.gz
Q9C1S7	45.0	45.0			PH/162/162425-0/AF-Q9C1S7-F1-model_v3.json.gz
Q70XJ9	35.0	45.0			PH/162/1625-0/AF-Q70XJ9-F1-model_v3.json.gz
Q9F1X7	53.0	53.0			PH/162/1625-0/AF-Q9F1X7-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	85.0	85.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	60.0	95.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTN9	98.0	98.0	80.0	98.0	PH/163/163003-0/AF-I3ZTN9-F1-model_v3.json.gz
I3ZTQ5	85.0	85.0	50.0	95.0	PH/163/163003-0/AF-I3ZTQ5-F1-model_v3.json.gz
Q6IYF2	25.0	25.0			PH/163/163134-0/AF-Q6IYF2-F1-model_v3.json.gz
Q73GL9	37.0	37.0			PH/163/163164-0/AF-Q73GL9-F1-model_v3.json.gz
Q73GL9	37.0	37.0			PH/163/163164-0/AF-Q73GL9-F1-model_v3.json.gz
Q73GL9	37.0	37.0			PH/163/163164-0/AF-Q73GL9-F1-model_v3.json.gz
A0A0F7VP60	65.0	65.0	35.0	80.0	PH/163/1634034-0/AF-A0A0F7VP60-F1-model_v3.json.gz
Q7X0P2	45.0	45.0	37.0	50.0	PH/164/164-0/AF-Q7X0P2-F1-model_v3.json.gz
Q84UV8	20.0	20.0			PH/164/164110-0/AF-Q84UV8-F1-model_v3.json.gz
A0A146FAY1	50.0	50.0			PH/164/1642-0/AF-A0A146FAY1-F1-model_v3.json.gz
A0A146FAZ1	50.0	50.0			PH/164/1642-0/AF-A0A146FAZ1-F1-model_v3.json.gz
A0A3G3NI51	60.0	60.0	60.0	65.0	PH/164/1642299-0/AF-A0A3G3NI51-F1-model_v3.json.gz
A0A0F6SIA9	50.0	50.0	45.0	60.0	PH/164/1648169-0/AF-A0A0F6SIA9-F1-model_v3.json.gz
C0LVA5	25.0	25.0			PH/165/165200-0/AF-C0LVA5-F1-model_v3.json.gz
A0A0H0ZQK0	45.0	50.0	15.0	55.0	PH/165/1652545-0/AF-A0A0H0ZQK0-F1-model_v3.json.gz
I6ZIX7	50.0	50.0			PH/165/165446-0/AF-I6ZIX7-F1-model_v3.json.gz
A0A023I760	35.0	35.0			PH/165/165450-0/AF-A0A023I760-F1-model_v3.json.gz
C1I208	25.0	25.0			PH/165/165468-0/AF-C1I208-F1-model_v3.json.gz
C1I209	25.0	25.0			PH/165/165468-0/AF-C1I209-F1-model_v3.json.gz
C1I210	25.0	25.0			PH/165/165468-0/AF-C1I210-F1-model_v3.json.gz
A0A0B6XK99	60.0	60.0			PH/165/1659315-0/AF-A0A0B6XK99-F1-model_v3.json.gz
A0A0N9GZK8	50.0	50.0			PH/166/1664036-0/AF-A0A0N9GZK8-F1-model_v3.json.gz
A0A0H3WC39	30.0	30.0			PH/166/1664316-0/AF-A0A0H3WC39-F1-model_v3.json.gz
A0A0H3WC39	30.0	30.0			PH/166/1664316-0/AF-A0A0H3WC39-F1-model_v3.json.gz
Q7WSN5	30.0	30.0			PH/166/1665-0/AF-Q7WSN5-F1-model_v3.json.gz
Q7X2H8	25.0	25.0	10.0	45.0	PH/166/1665-0/AF-Q7X2H8-F1-model_v3.json.gz
Q7X2H8	25.0	25.0	20.0	39.0	PH/166/1665-0/AF-Q7X2H8-F1-model_v3.json.gz
C7ASJ5	50.0	50.0			PH/166/1667-1/AF-C7ASJ5-F1-model_v3.json.gz
A9UKG4	37.0	37.0	25.0	60.0	PH/167/1671-0/AF-A9UKG4-F1-model_v3.json.gz
A9UKG4	28.0	28.0	25.0	60.0	PH/167/1671-0/AF-A9UKG4-F1-model_v3.json.gz
E1CJF8	25.0	25.0			PH/167/1677-0/AF-E1CJF8-F1-model_v3.json.gz
Q68AP4	35.0	35.0			PH/167/1677-0/AF-Q68AP4-F1-model_v3.json.gz
Q47VZ4	25.0	25.0			PH/167/167879-0/AF-Q47VZ4-F1-model_v3.json.gz
Q47YG3	22.0	22.0			PH/167/167879-0/AF-Q47YG3-F1-model_v3.json.gz
Q484B6	45.0	45.0	30.0	50.0	PH/167/167879-0/AF-Q484B6-F1-model_v3.json.gz
Q485S0	30.0	30.0			PH/167/167879-0/AF-Q485S0-F1-model_v3.json.gz
Q485S0	30.0	30.0			PH/167/167879-0/AF-Q485S0-F1-model_v3.json.gz
A0A061M1M5	40.0	40.0			PH/167/1679-0/AF-A0A061M1M5-F1-model_v3.json.gz
Q8KR84	35.0	35.0			PH/167/167956-0/AF-Q8KR84-F1-model_v3.json.gz
I3QNS7	37.0	37.0			PH/168/1680-3/AF-I3QNS7-F1-model_v3.json.gz
Q52UN2	37.0	37.0			PH/168/1680-3/AF-Q52UN2-F1-model_v3.json.gz
Q9AF93	37.0	37.0			PH/168/1680-3/AF-Q9AF93-F1-model_v3.json.gz
G5ELM1	55.0	55.0			PH/168/1681-1/AF-G5ELM1-F1-model_v3.json.gz
L8B3D7	40.0	40.0			PH/168/1684-1/AF-L8B3D7-F1-model_v3.json.gz
A0A0B5L773	55.0	55.0			PH/168/1684064-0/AF-A0A0B5L773-F1-model_v3.json.gz
B1P195	45.0	45.0	40.0	50.0	PH/168/1685-2/AF-B1P195-F1-model_v3.json.gz
I3QNT2	37.0	37.0			PH/168/1685-2/AF-I3QNT2-F1-model_v3.json.gz
Q2XQ11	50.0	50.0			PH/168/1685-2/AF-Q2XQ11-F1-model_v3.json.gz
R4UB73	25.0	25.0			PH/168/168631-1/AF-R4UB73-F1-model_v3.json.gz
Q8RR61	45.0	45.0			PH/168/168685-0/AF-Q8RR61-F1-model_v3.json.gz
C1KGU6	30.0	30.0			PH/168/168810-0/AF-C1KGU6-F1-model_v3.json.gz
P62058	37.0	37.0			PH/168/168810-0/AF-P62058-F1-model_v3.json.gz
Q6R6P5	37.0	37.0			PH/168/168810-0/AF-Q6R6P5-F1-model_v3.json.gz
L0CM48	37.0	37.0			PH/169/1694-0/AF-L0CM48-F1-model_v3.json.gz
A0A087BL81	37.0	37.0			PH/169/1695-0/AF-A0A087BL81-F1-model_v3.json.gz
Q59263	25.0	37.0			PH/169/1697-0/AF-Q59263-F1-model_v3.json.gz
Q59263	25.0	25.0			PH/169/1697-0/AF-Q59263-F1-model_v3.json.gz
Q59263	25.0	37.0			PH/169/1697-0/AF-Q59263-F1-model_v3.json.gz
Q1JUL0	25.0	25.0			PH/169/169758-0/AF-Q1JUL0-F1-model_v3.json.gz
Q1JUL1	25.0	25.0			PH/169/169758-0/AF-Q1JUL1-F1-model_v3.json.gz
Q8Y5E4	37.0	37.0			PH/169/169963-0/AF-Q8Y5E4-F1-model_v3.json.gz
B2MU09	37.0	37.0			PH/17-/17-0/AF-B2MU09-F1-model_v3.json.gz
A0A0H2UN41	33.0	33.0	5.0	55.0	PH/170/170187-0/AF-A0A0H2UN41-F1-model_v3.json.gz
A0A0H2UNY1	25.0	25.0			PH/170/170187-0/AF-A0A0H2UNY1-F1-model_v3.json.gz
A0A0H2UP35	37.0	37.0			PH/170/170187-0/AF-A0A0H2UP35-F1-model_v3.json.gz
A0A0H2UPI3	37.0	37.0			PH/170/170187-0/AF-A0A0H2UPI3-F1-model_v3.json.gz
A0A0H2UQY4	37.0	37.0			PH/170/170187-0/AF-A0A0H2UQY4-F1-model_v3.json.gz
A0A0H2URG4	37.0	37.0			PH/170/170187-0/AF-A0A0H2URG4-F1-model_v3.json.gz
A0A0H2URG4	37.0	37.0			PH/170/170187-0/AF-A0A0H2URG4-F1-model_v3.json.gz
Q07296	25.0	25.0			PH/170/170187-0/AF-Q07296-F1-model_v3.json.gz
Q54801	25.0	25.0			PH/170/170187-0/AF-Q54801-F1-model_v3.json.gz
Q54873	37.0	37.0			PH/170/170187-0/AF-Q54873-F1-model_v3.json.gz
Q54873	25.0	25.0			PH/170/170187-0/AF-Q54873-F1-model_v3.json.gz
Q8KY51	37.0	37.0			PH/170/170187-0/AF-Q8KY51-F1-model_v3.json.gz
Q97QZ1	25.0	25.0			PH/170/170187-0/AF-Q97QZ1-F1-model_v3.json.gz
P22637	50.0	50.0			PH/170/1702-0/AF-P22637-F1-model_v3.json.gz
A0A0K2S4R5	60.0	60.0	30.0	80.0	PH/170/1702083-0/AF-A0A0K2S4R5-F1-model_v3.json.gz
Q5MQ31	37.0	37.0			PH/170/1703-1/AF-Q5MQ31-F1-model_v3.json.gz
A0A346PXS9	50.0	50.0	20.0	60.0	PH/170/1707700-0/AF-A0A346PXS9-F1-model_v3.json.gz
G1C1T5	37.0	37.0			PH/170/1709-0/AF-G1C1T5-F1-model_v3.json.gz
G1ED17	50.0	50.0			PH/171/1710-1/AF-G1ED17-F1-model_v3.json.gz
T2M1V1	55.0	55.0			PH/171/1710-1/AF-T2M1V1-F1-model_v3.json.gz
A1XM14	50.0	50.0	30.0	70.0	PH/171/1711-0/AF-A1XM14-F1-model_v3.json.gz
A1XM14	50.0	50.0	30.0	70.0	PH/171/1711-0/AF-A1XM14-F1-model_v3.json.gz
A1XM14	50.0	50.0	30.0	70.0	PH/171/1711-0/AF-A1XM14-F1-model_v3.json.gz
A1XM14	50.0	50.0	30.0	70.0	PH/171/1711-0/AF-A1XM14-F1-model_v3.json.gz
Q3ZMA8	60.0	60.0			PH/171/1711-0/AF-Q3ZMA8-F1-model_v3.json.gz
P0A4Q0	37.0	37.0			PH/171/171101-0/AF-P0A4Q0-F1-model_v3.json.gz
Q8DNE6	22.0	22.0			PH/171/171101-0/AF-Q8DNE6-F1-model_v3.json.gz
Q8DPI4	25.0	25.0			PH/171/171101-0/AF-Q8DPI4-F1-model_v3.json.gz
Q8DR60	37.0	37.0			PH/171/171101-0/AF-Q8DR60-F1-model_v3.json.gz
Q8DR77	30.0	30.0			PH/171/171101-0/AF-Q8DR77-F1-model_v3.json.gz
Q8DR77	37.0	37.0			PH/171/171101-0/AF-Q8DR77-F1-model_v3.json.gz
Q8DRB3	37.0	37.0			PH/171/171101-0/AF-Q8DRB3-F1-model_v3.json.gz
Q7WTR6	45.0	45.0	40.0	50.0	PH/171/1714-0/AF-Q7WTR6-F1-model_v3.json.gz
Q7WTR6	37.0	37.0	40.0	50.0	PH/171/1714-0/AF-Q7WTR6-F1-model_v3.json.gz
A0A1R4FYB1	20.0	20.0	20.0	50.0	PH/171/1718-0/AF-A0A1R4FYB1-F1-model_v3.json.gz
H5SPS2	90.0	90.0	40.0	100.0	PH/171/171953-0/AF-H5SPS2-F1-model_v3.json.gz
Q47898	37.0	37.0			PH/172/172045-0/AF-Q47898-F1-model_v3.json.gz
C9DRU9	55.0	55.0			PH/172/172827-0/AF-C9DRU9-F1-model_v3.json.gz
B6E9X1	70.0	70.0			PH/172/172866-0/AF-B6E9X1-F1-model_v3.json.gz
Q93KD6	30.0	30.0			PH/173/1731-0/AF-Q93KD6-F1-model_v3.json.gz
A0A142LT01	35.0	35.0	20.0	37.0	PH/173/1738578-0/AF-A0A142LT01-F1-model_v3.json.gz
B7XEJ1	37.0	37.0			PH/174/1747-0/AF-B7XEJ1-F1-model_v3.json.gz
A0A0S1NK17	20.0	20.0			PH/174/1747068-0/AF-A0A0S1NK17-F1-model_v3.json.gz
A0A0S2I9J6	45.0	45.0	30.0	50.0	PH/175/1756047-0/AF-A0A0S2I9J6-F1-model_v3.json.gz
A1YQE2	55.0	55.0			PH/176/176275-2/AF-A1YQE2-F1-model_v3.json.gz
C7FDI4	37.0	37.0	15.0	45.0	PH/176/176275-2/AF-C7FDI4-F1-model_v3.json.gz
Q5HNV1	25.0	25.0			PH/176/176279-0/AF-Q5HNV1-F1-model_v3.json.gz
Q8CT69	25.0	25.0			PH/176/176280-0/AF-Q8CT69-F1-model_v3.json.gz
A0A1J1EM40	40.0	40.0			PH/176/1762963-0/AF-A0A1J1EM40-F1-model_v3.json.gz
A9CEQ8	22.0	22.0			PH/176/176299-0/AF-A9CEQ8-F1-model_v3.json.gz
A9CH39	25.0	25.0			PH/176/176299-0/AF-A9CH39-F1-model_v3.json.gz
A9CJ26	80.0	80.0	65.0	90.0	PH/176/176299-0/AF-A9CJ26-F1-model_v3.json.gz
A9CJL8	22.0	22.0			PH/176/176299-0/AF-A9CJL8-F1-model_v3.json.gz
A9CK16	37.0	37.0			PH/176/176299-0/AF-A9CK16-F1-model_v3.json.gz
A9CL08	30.0	30.0			PH/176/176299-0/AF-A9CL08-F1-model_v3.json.gz
Q7CRQ0	60.0	60.0	15.0	60.0	PH/176/176299-0/AF-Q7CRQ0-F1-model_v3.json.gz
Q5UFR5	37.0	37.0			PH/176/1764-0/AF-Q5UFR5-F1-model_v3.json.gz
Q8RPW9	28.0	28.0			PH/176/176903-0/AF-Q8RPW9-F1-model_v3.json.gz
Q9AGJ6	70.0	70.0			PH/177/1772-0/AF-Q9AGJ6-F1-model_v3.json.gz
Q9RN49	37.0	37.0			PH/177/1772-0/AF-Q9RN49-F1-model_v3.json.gz
P77909	37.0	37.0			PH/177/1773-4/AF-P77909-F1-model_v3.json.gz
Q5NEQ5	37.0	37.0			PH/177/177416-0/AF-Q5NEQ5-F1-model_v3.json.gz
Q5NEV0	30.0	30.0			PH/177/177416-0/AF-Q5NEV0-F1-model_v3.json.gz
Q5NGA7	30.0	30.0			PH/177/177416-0/AF-Q5NGA7-F1-model_v3.json.gz
