accession	tempOptimMin	tempOptimMax	tempMin	tempMax	path
O55236	37.0	37.0			PH/100/10090-3/AF-O55236-F1-model_v3.json.gz
O70138	37.0	37.0			PH/100/10090-3/AF-O70138-F1-model_v3.json.gz
O70310	30.0	30.0			PH/100/10090-3/AF-O70310-F1-model_v3.json.gz
O70310	25.0	25.0			PH/100/10090-3/AF-O70310-F1-model_v3.json.gz
O70311	30.0	30.0			PH/100/10090-3/AF-O70311-F1-model_v3.json.gz
O70311	25.0	25.0			PH/100/10090-3/AF-O70311-F1-model_v3.json.gz
O70582	37.0	37.0			PH/100/10090-3/AF-O70582-F1-model_v3.json.gz
O88199	37.0	37.0			PH/100/10090-3/AF-O88199-F1-model_v3.json.gz
O88885	30.0	30.0			PH/100/10090-3/AF-O88885-F1-model_v3.json.gz
O89017	37.0	37.0			PH/100/10090-3/AF-O89017-F1-model_v3.json.gz
P00375	25.0	25.0			PH/100/10090-3/AF-P00375-F1-model_v3.json.gz
P00860	37.0	37.0			PH/100/10090-3/AF-P00860-F1-model_v3.json.gz
P03958	20.0	20.0			PH/100/10090-3/AF-P03958-F1-model_v3.json.gz
P05202	60.0	60.0			PH/100/10090-3/AF-P05202-F1-model_v3.json.gz
P08680	37.0	37.0			PH/100/10090-3/AF-P08680-F1-model_v3.json.gz
P08680	18.0	18.0			PH/100/10090-3/AF-P08680-F1-model_v3.json.gz
P08680	18.0	37.0			PH/100/10090-3/AF-P08680-F1-model_v3.json.gz
P10605	37.0	37.0			PH/100/10090-3/AF-P10605-F1-model_v3.json.gz
P11928	30.0	30.0			PH/100/10090-3/AF-P11928-F1-model_v3.json.gz
P14901	37.0	37.0			PH/100/10090-3/AF-P14901-F1-model_v3.json.gz
P16406	37.0	37.0			PH/100/10090-3/AF-P16406-F1-model_v3.json.gz
P16460	37.0	37.0			PH/100/10090-3/AF-P16460-F1-model_v3.json.gz
P16858	37.0	37.0			PH/100/10090-3/AF-P16858-F1-model_v3.json.gz
P17182	37.0	37.0			PH/100/10090-3/AF-P17182-F1-model_v3.json.gz
P18293	37.0	37.0			PH/100/10090-3/AF-P18293-F1-model_v3.json.gz
P21550	37.0	37.0			PH/100/10090-3/AF-P21550-F1-model_v3.json.gz
P21836	22.0	22.0			PH/100/10090-3/AF-P21836-F1-model_v3.json.gz
P21836	25.0	25.0			PH/100/10090-3/AF-P21836-F1-model_v3.json.gz
P21958	23.0	23.0			PH/100/10090-3/AF-P21958-F1-model_v3.json.gz
P21958	26.0	26.0			PH/100/10090-3/AF-P21958-F1-model_v3.json.gz
P21958	37.0	37.0			PH/100/10090-3/AF-P21958-F1-model_v3.json.gz
P21981	37.0	37.0			PH/100/10090-3/AF-P21981-F1-model_v3.json.gz
P21981	30.0	30.0			PH/100/10090-3/AF-P21981-F1-model_v3.json.gz
P22315			56.0	56.0	PH/100/10090-3/AF-P22315-F1-model_v3.json.gz
P22315			55.8	55.8	PH/100/10090-3/AF-P22315-F1-model_v3.json.gz
P22315			61.0	61.0	PH/100/10090-3/AF-P22315-F1-model_v3.json.gz
P22315			57.5	57.5	PH/100/10090-3/AF-P22315-F1-model_v3.json.gz
P23953	37.0	37.0			PH/100/10090-3/AF-P23953-F1-model_v3.json.gz
P26443	37.0	37.0			PH/100/10090-3/AF-P26443-F1-model_v3.json.gz
P27545	37.0	37.0			PH/100/10090-3/AF-P27545-F1-model_v3.json.gz
P27545	37.0	37.0			PH/100/10090-3/AF-P27545-F1-model_v3.json.gz
P28776	37.0	37.0			PH/100/10090-3/AF-P28776-F1-model_v3.json.gz
P28825	37.0	37.0			PH/100/10090-3/AF-P28825-F1-model_v3.json.gz
P31938	30.0	30.0			PH/100/10090-3/AF-P31938-F1-model_v3.json.gz
P31938	37.0	37.0			PH/100/10090-3/AF-P31938-F1-model_v3.json.gz
P34914	30.0	30.0			PH/100/10090-3/AF-P34914-F1-model_v3.json.gz
P34914	37.0	37.0			PH/100/10090-3/AF-P34914-F1-model_v3.json.gz
P36371	23.0	23.0			PH/100/10090-3/AF-P36371-F1-model_v3.json.gz
P36371	26.0	26.0			PH/100/10090-3/AF-P36371-F1-model_v3.json.gz
P47811	30.0	30.0			PH/100/10090-3/AF-P47811-F1-model_v3.json.gz
P48026	25.0	25.0			PH/100/10090-3/AF-P48026-F1-model_v3.json.gz
P48318	37.0	37.0			PH/100/10090-3/AF-P48318-F1-model_v3.json.gz
P48320	37.0	37.0			PH/100/10090-3/AF-P48320-F1-model_v3.json.gz
P48999	37.0	37.0			PH/100/10090-3/AF-P48999-F1-model_v3.json.gz
P50294	37.0	37.0			PH/100/10090-3/AF-P50294-F1-model_v3.json.gz
P50295	37.0	37.0			PH/100/10090-3/AF-P50295-F1-model_v3.json.gz
P51658	37.0	37.0			PH/100/10090-3/AF-P51658-F1-model_v3.json.gz
P52850	37.0	37.0			PH/100/10090-3/AF-P52850-F1-model_v3.json.gz
P53690	37.0	37.0			PH/100/10090-3/AF-P53690-F1-model_v3.json.gz
P54751	30.0	30.0			PH/100/10090-3/AF-P54751-F1-model_v3.json.gz
P54869	30.0	30.0			PH/100/10090-3/AF-P54869-F1-model_v3.json.gz
P55264	37.0	37.0			PH/100/10090-3/AF-P55264-F1-model_v3.json.gz
P55772	37.0	37.0			PH/100/10090-3/AF-P55772-F1-model_v3.json.gz
P56528	37.0	37.0			PH/100/10090-3/AF-P56528-F1-model_v3.json.gz
P63085	30.0	30.0			PH/100/10090-3/AF-P63085-F1-model_v3.json.gz
P63239	22.0	22.0			PH/100/10090-3/AF-P63239-F1-model_v3.json.gz
P84309	37.0	37.0			PH/100/10090-3/AF-P84309-F1-model_v3.json.gz
P97501	37.0	37.0			PH/100/10090-3/AF-P97501-F1-model_v3.json.gz
Q05769	25.0	25.0			PH/100/10090-3/AF-Q05769-F1-model_v3.json.gz
Q0E9Q7	45.0	45.0			PH/100/10090-3/AF-Q0E9Q7-F1-model_v3.json.gz
Q14AZ4	30.0	30.0			PH/100/10090-3/AF-Q14AZ4-F1-model_v3.json.gz
Q14DK4	20.0	20.0			PH/100/10090-3/AF-Q14DK4-F1-model_v3.json.gz
Q1A3B0	37.0	37.0			PH/100/10090-3/AF-Q1A3B0-F1-model_v3.json.gz
Q1A3B0	37.0	37.0			PH/100/10090-3/AF-Q1A3B0-F1-model_v3.json.gz
Q3TFD2	37.0	37.0			PH/100/10090-4/AF-Q3TFD2-F1-model_v3.json.gz
Q3TFD2	39.0	39.0			PH/100/10090-4/AF-Q3TFD2-F1-model_v3.json.gz
Q3TFD2	37.0	37.0			PH/100/10090-4/AF-Q3TFD2-F1-model_v3.json.gz
Q3U4H6	37.0	37.0			PH/100/10090-4/AF-Q3U4H6-F1-model_v3.json.gz
Q3UHN9	37.0	37.0			PH/100/10090-4/AF-Q3UHN9-F1-model_v3.json.gz
Q3UN02	37.0	37.0			PH/100/10090-4/AF-Q3UN02-F1-model_v3.json.gz
